INPUT	ALLMB
Jacobsenia_kolbei	Jacobsenia_kolbei
Jensenbotrya_lossowiana	﻿Jensenobotrya_lossowiana
Juttadinteria_albata	Juttadinteria_albata
Juttadinteria_atenuata	
Juttadinteria_ausensis	
Juttadinteria_deserticola	Juttadinteria_deserticola
Juttadinteria_simpsonii	Juttadinteria_simpsonii
Lampranthus_acrosepalus	Lampranthus_acrosepalus
Lampranthus_acutifolius	Lampranthus_acutifolius
Lampranthus_aduncus	Lampranthus_aduncus
Lampranthus_aestivus	Lampranthus_aestivus
Lampranthus_affinis	Lampranthus_affinis
Lampranthus_algoensis	Lampranthus_algoensis
Lampranthus_altistylus	Lampranthus_altistylus
Lampranthus_amabilis	Lampranthus_amabilis
Lampranthus_amoenus	Lampranthus_amoenus
Lampranthus_amphibolius	Lampranthus_amphibolius
Lampranthus_antemeridianus	Lampranthus_antemeridianus
Lampranthus_antonii	Lampranthus_antonii
Lampranthus_arbuthnotieae	
Lampranthus_arenarius	Lampranthus_arenarius
Lampranthus_arenicola	Lampranthus_arenicola
Lampranthus_arenosus	
Lampranthus_argenteus	Lampranthus_argenteus
Lampranthus_argillosus	Lampranthus_argillosus
Lampranthus_aureus	Lampranthus_aureus
Lampranthus_austricola	Lampranthus_austricola
Lampranthus_baylissii	Lampranthus_baylissii
Lampranthus_berghiae	Lampranthus_berghiae
Lampranthus_bicolor	Lampranthus_bicolor
Lampranthus_blandus	Lampranthus_blandus
Lampranthus_borealis	Lampranthus_borealis
Lampranthus_brachyandrus	Lampranthus_brachyandrus
Lampranthus_brevistaminus	Lampranthus_brevistaminus
Lampranthus_brownii	Lampranthus_brownii
Lampranthus_caespitosus	Lampranthus_caespitosus
Lampranthus_calcaratus	Lampranthus_calcaratus
Lampranthus_candidus	Lampranthus_candidus
Lampranthus_capillaceus	Lampranthus_capillaceus
Lampranthus_caudatus	Lampranthus_caudatus
Lampranthus_ceriseus	Lampranthus_ceriseus
Lampranthus_citrinus	Lampranthus_citrinus
Lampranthus_coccineus	Lampranthus_coccineus
Lampranthus_conspicuus	Lampranthus_conspicuus
Lampranthus_convexus	Lampranthus_convexus
Lampranthus_coralliflorus	
Lampranthus_creber	Lampranthus_creber
Lampranthus_curviflorus	Lampranthus_curviflorus
Lampranthus_curvifolius	Lampranthus_curvifolius
Lampranthus_cyathiformis	
Lampranthus_debilis	Lampranthus_debilis
Lampranthus_deflexus	Lampranthus_deflexus
Lampranthus_densifolius	Lampranthus_densifolius
Lampranthus_densipetalus	Lampranthus_densipetalus
Lampranthus_dependens	Lampranthus_dependens
Lampranthus_diffusus	Lampranthus_diffusus
Lampranthus_dilutus	Lampranthus_dilutus
Lampranthus_disgregus	Lampranthus_disgregus
Lampranthus_dissimilis	
Lampranthus_diutinus	Lampranthus_diutinus
Lampranthus_dregeanus	Lampranthus_dregeanus
Lampranthus_dubitans	Lampranthus_dubitans
Lampranthus_dulcis	Lampranthus_dulcis
Lampranthus_dyckii	Lampranthus_dyckii
Lampranthus_ebracteanus	
Lampranthus_edwardsiae	Lampranthus_edwardsiae
Lampranthus_egregius	Lampranthus_egregius
Lampranthus_elegans	Lampranthus_elegans
Lampranthus_emarginatoides	Lampranthus_emarginatoides
Lampranthus_emarginatus	Lampranthus_emarginatus
Lampranthus_ernestii	Lampranthus_ernestii
Lampranthus_erratus	Lampranthus_erratus
Lampranthus_esterhuysenieae	
Lampranthus_eximius	Lampranthus_eximius
Lampranthus_explanatus	Lampranthus_explanatus
Lampranthus_falcatus	Lampranthus_falcatus
Lampranthus_fergusonieae	
Lampranthus_filicaulis	Lampranthus_filicaulis
Lampranthus_flexifolius	Lampranthus_flexifolius
Lampranthus_flexilis	Lampranthus_flexilis
Lampranthus_formosus	Lampranthus_formosus
Lampranthus_framesii	Lampranthus_framesii
Lampranthus_francesiae	Lampranthus_francesiae
Lampranthus_francisii	
Lampranthus_fugitans	Lampranthus_fugitans
Lampranthus_furvus	Lampranthus_furvus
Lampranthus_galpineae	﻿Lampranthus_galpiniae
Lampranthus_glaucoides	Lampranthus_glaucoides
Lampranthus_glaucus	Lampranthus_glaucus
Lampranthus_globosus	Lampranthus_globosus
Lampranthus_glomeratus	Lampranthus_glomeratus
Lampranthus_godmaniae	Lampranthus_godmaniae
Lampranthus_gracilipes	Lampranthus_gracilipes
Lampranthus_gydouwensis	Lampranthus_gydouwensis
Lampranthus_hallii	Lampranthus_hallii
Lampranthus_haworthii	Lampranthus_haworthii
Lampranthus_henricii	Lampranthus_henricii
Lampranthus_hiemalis	Lampranthus_hiemalis
Lampranthus_hoerleinianus	Lampranthus_hoerleinianus
Lampranthus_holensis	Lampranthus_holensis
Lampranthus_hollandii	Lampranthus_hollandii
Lampranthus_hurlingii	Lampranthus_hurlingii
Lampranthus_imbricans	Lampranthus_imbricans
Lampranthus_immelmaniae	Lampranthus_immelmaniae
Lampranthus_inaequalis	Lampranthus_inaequalis
Lampranthus_inconspicuus	Lampranthus_inconspicuus
Lampranthus_incurvus	Lampranthus_incurvus
Lampranthus_intervallaris	Lampranthus_intervallaris
Lampranthus_laetus	Lampranthus_laetus
Lampranthus_lavisii	Lampranthus_lavisii
Lampranthus_laxifolius	Lampranthus_laxifolius
Lampranthus_leightoniae	Lampranthus_leightoniae
Lampranthus_leipoldtii	Lampranthus_leipoldtii
Lampranthus_leptaleon	Lampranthus_leptaleon
Lampranthus_leptosepalus	Lampranthus_leptosepalus
Lampranthus_lewisiae	Lampranthus_lewisiae
Lampranthus_liberalis	Lampranthus_liberalis
Lampranthus_littlewoodii	Lampranthus_littlewoodii
Lampranthus_longistamineus	Lampranthus_longistamineus
Lampranthus_lunulatus	
Lampranthus_macrocarpus	Lampranthus_macrocarpus
Lampranthus_macrosepalus	Lampranthus_macrosepalus
Lampranthus_macrostigma	Lampranthus_macrostigma
Lampranthus_magnificus	Lampranthus_magnificus
Lampranthus_marcidulus	Lampranthus_marcidulus
Lampranthus_marginatus	Lampranthus_marginatus
Lampranthus_mariae	Lampranthus_mariae
Lampranthus_martleyi	Lampranthus_martleyi
Lampranthus_maturus	Lampranthus_maturus
Lampranthus_matutinus	Lampranthus_matutinus
Lampranthus_microsepalus	Lampranthus_microsepalus
Lampranthus_microstigma	Lampranthus_microstigma
Lampranthus_middlemostii	Lampranthus_middlemostii
Lampranthus_montaguensis	
Lampranthus_monticola	Lampranthus_monticola
Lampranthus_mucronatus	﻿Esterhuysenia_mucronata
Lampranthus_multiradiatus	Lampranthus_multiradiatus
Lampranthus_multiseriatus	Lampranthus_multiseriatus
Lampranthus_mutans	Lampranthus_mutans
Lampranthus_mutatus	Ruschia_mutata
Lampranthus_nardouwensis	Lampranthus_nardouwensis
Lampranthus_nelii	Lampranthus_nelii
Lampranthus_neostayeri	
Lampranthus_obconicus	Lampranthus_obconicus
Lampranthus_occultans	Lampranthus_occultans
Lampranthus_otzenianus	Lampranthus_otzenianus
Lampranthus_paarlensis	Lampranthus_paarlensis
Lampranthus_pakhuisensis	
Lampranthus_pakpassensis	Lampranthus_pakpassensis
Lampranthus_palustris	Lampranthus_palustris
Lampranthus_parcus	Lampranthus_parcus
Lampranthus_pauciflorus	Lampranthus_pauciflorus
Lampranthus_peacockiae	Lampranthus_peacockiae
Lampranthus_peersii	Lampranthus_peersii
Lampranthus_perreptans	Lampranthus_perreptans
Lampranthus_persistens	
Lampranthus_plautus	Lampranthus_plautus
Lampranthus_pleniflorus	Lampranthus_pleniflorus
Lampranthus_plenus	Lampranthus_plenus
Lampranthus_pocockiae	Lampranthus_pocockiae
Lampranthus_polyanthon	Lampranthus_polyanthon
Lampranthus_pominulus	
Lampranthus_praecipitatus	Lampranthus_praecipitatus
Lampranthus_productus	Lampranthus_productus
Lampranthus_profundus	Lampranthus_profundus
Lampranthus_promontorii	Lampranthus_promontorii
Lampranthus_proximus	Lampranthus_proximus
Lampranthus_purpureus	Lampranthus_purpureus
Lampranthus_rabiesbergensis	
Lampranthus_recurvus	Lampranthus_recurvus
Lampranthus_reptans	Lampranthus_reptans
Lampranthus_roseus	Lampranthus_roseus
Lampranthus_rubroluteus	Lampranthus_rubroluteus
Lampranthus_rupestris	Lampranthus_rupestris
Lampranthus_rustii	Lampranthus_rustii
Lampranthus_salicola	Lampranthus_salicola
Lampranthus_salteri	Lampranthus_salteri
Lampranthus_saturatus	Lampranthus_saturatus
Lampranthus_sauerae	Lampranthus_sauerae
Lampranthus_schlechteri	Lampranthus_schlechteri
Lampranthus_serpens	Lampranthus_serpens
Lampranthus_simulans	
Lampranthus_sociorum	Lampranthus_sociorum
Lampranthus_sparsiflorus	Lampranthus_sparsiflorus
Lampranthus_spectabilis	Lampranthus_spectabilis
Lampranthus_spiniformis	Lampranthus_spiniformis
Lampranthus_staminodiosus	Lampranthus_staminodiosus
Lampranthus_stanfordiae	Lampranthus_stanfordiae
Lampranthus_stayneri	Lampranthus_stayneri
Lampranthus_stenopetalus	Lampranthus_stenopetalus
Lampranthus_stenus	Lampranthus_stenus
Lampranthus_stephanii	Lampranthus_stephanii
Lampranthus_sternens	Lampranthus_sternens
Lampranthus_stipulaceus	Lampranthus_stipulaceus
Lampranthus_suavissimus	Lampranthus_suavissimus
Lampranthus_subaequalis	Cheiridopsis_derenbergiana
Lampranthus_sublaxus	Lampranthus_sublaxus
Lampranthus_subrotundus	Lampranthus_subrotundus
Lampranthus_subtruncatus	Lampranthus_subtruncatus
Lampranthus_swartbergensis	Lampranthus_swartbergensis
Lampranthus_swartkopensis	Lampranthus_swartkopensis
Lampranthus_tegens	Lampranthus_tegens
Lampranthus_tenuifolius	Lampranthus_tenuifolius
Lampranthus_tenuis	Lampranthus_tenuis
Lampranthus_tulbaghensis	Lampranthus_tulbaghensis
Lampranthus_turbinatus	Lampranthus_turbinatus
Lampranthus_uncus	
Lampranthus_uniflorus	Lampranthus_uniflorus
Lampranthus_vallis-gratiae	Lampranthus_vallis-gratiae
Lampranthus_vanheerdei	Lampranthus_vanheerdei
Lampranthus_vanputtenii	Lampranthus_vanputtenii
Lampranthus_vanzijliae	Lampranthus_vanzijliae
Lampranthus_variabilis	Lampranthus_variabilis
Lampranthus_verecundus	Lampranthus_verecundus
Lampranthus_vernalis	
Lampranthus_viatorum	
Lampranthus_villiersii	Lampranthus_villiersii
Lampranthus_violaceus	Lampranthus_violaceus
Lampranthus_walgateae	Lampranthus_walgateae
Lampranthus_watermeyeri	Lampranthus_watermeyeri
Lampranthus_woodburniae	Lampranthus_woodburniae
Lampranthus_wordsworthiae	Lampranthus_wordsworthiae
Lampranthus_zeyheri	Lampranthus_zeyheri
Leipoldtia_alborosea	Leipoldtia_alborosea
Leipoldtia_calandra	Leipoldtia_calandra
Leipoldtia_compacta	Leipoldtia_compacta
Leipoldtia_frutescens	Leipoldtia_frutescens
Leipoldtia_klaverensis	Leipoldtia_klaverensis
Leipoldtia_laxa	Leipoldtia_laxa
Leipoldtia_lunata	Leipoldtia_lunata
Leipoldtia_rosea	Leipoldtia_rosea
Leipoldtia_schultzei	Leipoldtia_schultzei
Leipoldtia_uniflora	Leipoldtia_uniflora
Leipoldtia_weigangiana	Leipoldtia_weigangiana
Malephora_crassa	Malephora_crassa
Malephora_crocea	Malephora_crocea
Malephora_engleriana	Malephora_engleriana
Malephora_flavo-crocea	﻿Malephora_flavocrocea
Malephora_framesii	Malephora_framesii
Malephora_herrei	Malephora_herrei
Malephora_latipetala	Malephora_latipetala
Malephora_lutea	Malephora_lutea
Malephora_luteola	Malephora_luteola
Malephora_mollis	Malephora_mollis
Malephora_ochracea	Malephora_ochracea
Malephora_purpureo-crocea	﻿Malephora_purpureocrocea
Malephora_smithii	Malephora_smithii
Malephora_thunbergii	
Malephora_uitenhagensis	Malephora_uitenhagensis
Malephora_veruculoides	
Mestoklema_albanicum	Mestoklema_albanicum
Mestoklema_arboriforme	Mestoklema_arboriforme
Mestoklema_copiosum	Mestoklema_copiosum
Mestoklema_elatum	Mestoklema_elatum
Mestoklema_illepidum	Mestoklema_illepidum
Mestoklema_tuberosum	Mestoklema_tuberosum
Meyerophytum_globosum	Meyerophytum_globosum
Meyerophytum_meyeri	Meyerophytum_meyeri
Monilaria_chrysoleuca	Monilaria_chrysoleuca
Monilaria_moniliformis	Monilaria_moniliformis
Monilaria_obconica	Monilaria_obconica
Monilaria_pisiformis	Monilaria_pisiformis
Monilaria_scutata	Monilaria_scutata
Namaquanthus_vanheerderi	Namaquanthus_vanheerdei
Octopoma_abruptum	
Octopoma_connatum	Octopoma_connatum
Octopoma_inclusum	Octopoma_inclusum
Octopoma_octojuge	Octopoma_octojuge
Octopoma_quadrisepalum	
Octopoma_rupigenum	Octopoma_rupigenum
Octopoma_subglobosum	Octopoma_subglobosum
Octopoma_tetrasepalum	Octopoma_tetrasepalum
Odontophorus_pusillus	
Oscularia_alba	Oscularia_alba
