INPUT	ALLMB
Ruellia_amoena	Ruellia_amoena
Ruellia_angustiflora	Ruellia_angustiflora
Ruellia_breedlovei	Ruellia_breedlovei
Ruellia_cedilloi	Ruellia_cedilloi
Ruellia_conzattii	Ruellia_conzattii
Ruellia_foetida	Ruellia_foetida
Ruellia_fruticosa	Ruellia_fruticosa
Ruellia_guerrerensis	Ruellia_guerrerensis
Ruellia_jaliscana	Ruellia_jaliscana
Ruellia_laslobasensis	Ruellia_laslobasensis
Ruellia_leucobracteatus	Ruellia_leucobracteatus
Ruellia_longifilamentosa	Ruellia_longifilamentosa
Ruellia_mcvaughii	Ruellia_mcvaughii
Ruellia_megasphaera	
Ruellia_mira	Ruellia_mira
Ruellia_norvegigratiosa	Ruellia_norvegigratiosa
Ruellia_novogalicana	Ruellia_novogaliciana
Ruellia_parryi	Ruellia_parryi
Ruellia_petiolaris	Ruellia_petiolaris
Ruellia_reitzii	Ruellia_reitzii
Ruellia_sarukhaniana	Ruellia_sarukhaniana
Ruellia_sororia	Ruellia_sororia
Ruellia_speciosa	Ruellia_speciosa
Ruellia_terminalis	Ruellia_terminalis
Ruellia_thyrsostachya	Ruellia_thyrsostachya
Amphibolia_laevis	Amphibolia_laevis
Amphibolia_obscura	Amphibolia_obscura
Amphibolia_rupis-arcuatae	Amphibolia_rupis-arcuatae
Amphibolia_saginata	Amphibolia_saginata
Amphibolia_succulenta	Amphibolia_succulenta
Antimima_aurasensis	Antimima_aurasensis
Antimima_bina	Antimima_bina
Antimima_buchubergensis	Antimima_buchubergensis
Antimima_compacta	Antimima_compacta
Antimima_concinna	Antimima_concinna
Antimima_crassifolia	Antimima_crassifolia
Antimima_dasyphylla	Antimima_dasyphylla
Antimima_defecta	Antimima_defecta
Antimima_distans	Antimima_distans
Antimima_dolomitica	Antimima_dolomitica
Antimima_eendornensis	Antimima_eendornensis
Antimima_emarcescens	Antimima_emarcescens
Antimima_excedens	Antimima_excedens
Antimima_exsurgens	Antimima_exsurgens
Antimima_fenestrata	Antimima_fenestrata
Antimima_hantamensis	Antimima_hantamensis
Antimima_intervallaris	Antimima_intervallaris
Antimima_karroidea	Antimima_karroidea
Antimima_klaverensis	Antimima_klaverensis
Antimima_koekenaapensis	Antimima_koekenaapensis
Antimima_komkansica	Antimima_komkansica
Antimima_leipoldtii	Antimima_leipoldtii
Antimima_lokenbergensis	Antimima_lokenbergensis
Antimima_maleolens	Antimima_maleolens
Antimima_maxwelii	
Antimima_mesklipensis	Antimima_mesklipensis
Antimima_meyerae	Antimima_meyerae
Antimima_microphylla	Antimima_microphylla
Antimima_minutifolia	Antimima_minutifolia
Antimima_modesta	Antimima_modesta
Antimima_mucronata	Antimima_mucronata
Antimima_mutica	Antimima_mutica
Antimima_oviformis	Antimima_oviformis
Antimima_papillata	Antimima_papillata
Antimima_pauciflora	
Antimima_pauper	Antimima_pauper
Antimima_peersii	Antimima_peersii
Antimima_perforata	Antimima_perforata
Antimima_persistens	Antimima_persistens
Antimima_pilosula	Antimima_pilosula
Antimima_piscodora	Antimima_piscodora
Antimima_prolongata	Antimima_prolongata
Antimima_quartzitica	
Antimima_saxicola	Antimima_saxicola
Antimima_simulans	Antimima_simulans
Antimima_stayneri	Antimima_stayneri
Antimima_triquetra	Antimima_triquetra
Antimima_tuberculosa	Antimima_tuberculosa
Antimima_varians	Antimima_varians
Antimima_verruculosa	Antimima_verruculosa
Arenifera_pillansii	Arenifera_pillansii
Arenifera_pungens	Arenifera_pungens
Arenifera_spinescens	Arenifera_spinescens
Arenifera_stylosa	Arenifera_stylosa
Astridia_alba	Astridia_alba
Astridia_citrina	Astridia_citrina
Astridia_dulcis	Astridia_dulcis
Astridia_hallii	Astridia_hallii
Astridia_herrei	Astridia_herrei
Astridia_hillii	Astridia_hillii
Astridia_longifolia	Astridia_longifolia
Astridia_lutata	Astridia_lutata
Astridia_rubra	Astridia_rubra
Astridia_speciosa	Astridia_speciosa
Astridia_vanheerdei	Astridia_vanheerdei
Astridia_velutina	Astridia_velutina
Braunsia_apiculata	Braunsia_apiculata
Braunsia_bina	Braunsia_bina
Braunsia_geminata	Braunsia_geminata
Braunsia_maximiliani	Braunsia_maximiliani
Braunsia_stayneri	Braunsia_stayneri
Braunsia_venrensburgii	Braunsia_vanrensburgii
Cephalophyllum_herrei	Cephalophyllum_herrei
Cephalophyllum_pulchellum	Cephalophyllum_pulchellum
Cephalophyllum_tetrastichum	Cephalophyllum_tetrastichum
Chasmatophyllum_braunsii	Chasmatophyllum_braunsii
Chasmatophyllum_nelii	Chasmatophyllum_nelii
Chasmatophyllum_stanleyi	Chasmatophyllum_stanleyi
Circandra_serrata	Circandra_serrata
Conophytum_frutescens	Conophytum_frutescens
Corpuscularia_cybiformis	
Delosperma_abyssinicum	Delosperma_abyssinicum
Delosperma_asperulum	Drosanthemum_asperulum
Delosperma_brunnthaleri	Delosperma_brunnthaleri
Delosperma_burtoniae	Delosperma_burtoniae
Delosperma_calitzdorpense	Delosperma_calitzdorpense
Delosperma_calycinum	Delosperma_calycinum
Delosperma_concavum	Delosperma_concavum
Delosperma_congestum	Delosperma_congestum
Delosperma_cooperi	Delosperma_cooperi
Delosperma_crassum	Delosperma_crassum
Delosperma_cronemeyerianum	Delosperma_cronemeyerianum
Delosperma_davyi	Delosperma_davyi
Delosperma_echinatum	Delosperma_echinatum
Delosperma_erectum	Delosperma_erectum
Delosperma_floribundum	Delosperma_floribundum
Delosperma_frutescens	Delosperma_frutescens
Delosperma_gerstneri	Delosperma_gerstneri
Delosperma_giffenii	Delosperma_giffenii
Delosperma_gramineum	Delosperma_gramineum
Delosperma_gratiae	Delosperma_gratiae
Delosperma_hirtum	Delosperma_hirtum
Delosperma_imbricatum	Delosperma_imbricatum
Delosperma_inaequale	Delosperma_inaequale
Delosperma_incomptum	Delosperma_incomptum
Delosperma_invalidum	Delosperma_invalidum
Delosperma_katbergense	Delosperma_katbergense
Delosperma_klinghardtianum	Delosperma_klinghardtianum
Delosperma_laxipetalum	Delosperma_laxipetalum
Delosperma_leendertziae	Delosperma_leendertziae
Delosperma_leightoniae	Delosperma_leightoniae
Delosperma_liebenbergii	Delosperma_liebenbergii
Delosperma_lineare	Delosperma_lineare
Delosperma_macrostigma	Delosperma_macrostigma
Delosperma_maxwellii	Delosperma_maxwellii
Delosperma_nakurense	Delosperma_nakurense
Delosperma_neethlingiae	Delosperma_neethlingiae
Delosperma_ornatulum	Delosperma_ornatulum
Delosperma_pachyrhizum	Delosperma_pachyrhizum
Delosperma_pageanum	Delosperma_pageanum
Delosperma_parviflorum	Delosperma_parviflorum
Delosperma_patersoniae	Delosperma_patersoniae
Delosperma_peersii	Delosperma_peersii
Delosperma_pondoense	Delosperma_pondoense
Delosperma_pontii	Delosperma_pontii
Delosperma_prasinum	Delosperma_prasinum
Delosperma_pubipetalum	Delosperma_pubipetalum
Delosperma_purpureum	Delosperma_purpureum
Delosperma_reynoldsii	Delosperma_reynoldsii
Delosperma_ridleyi	
Delosperma_robustum	Delosperma_robustum
Delosperma_rogersii	Delosperma_rogersii
Delosperma_scabripes	Delosperma_scabripes
Delosperma_stenandrum	Delosperma_stenandrum
Delosperma_subclavatum	Delosperma_subclavatum
Delosperma_subincanum	Delosperma_subincanum
Delosperma_sulcatum	Delosperma_sulcatum
Delosperma_testaceum	Delosperma_testaceum
Delosperma_truteri	Delosperma_truteri
Delosperma_uitenhagensis	
Delosperma_velutinum	Delosperma_velutinum
Delosperma_verecundum	Delosperma_verecundum
Delosperma_virens	Delosperma_virens
Delosperma_vogtsii	Delosperma_vogtsii
Delosperma_wethamae	Delosperma_wethamae
Dicrocaulon_breviflolium	Dicrocaulon_brevifolium
Dicrocaulon_grandiflorum	
Dicrocaulon_humile	
Dicrocaulon_microstigma	Dicrocaulon_microstigma
Dicrocaulon_nodosum	
Dicrocaulon_ramulosum	
Dicrocaulon_spissum	
Drosanthemum_acuminatum	Drosanthemum_acuminatum
Drosanthemum_acutifolium	Drosanthemum_acutifolium
Drosanthemum_albens	Drosanthemum_albens
Drosanthemum_albiflorum	Drosanthemum_albiflorum
Drosanthemum_ambiguum	Drosanthemum_ambiguum
Drosanthemum_aureopurpureum	Drosanthemum_aureopurpureum
Drosanthemum_austricola	Drosanthemum_austricola
Drosanthemum_autumnale	Drosanthemum_autumnale
Drosanthemum_barkerae	Drosanthemum_barkerae
Drosanthemum_bellum	Drosanthemum_bellum
Drosanthemum_bicolor	Drosanthemum_bicolor
Drosanthemum_brevifolium	Drosanthemum_brevifolium
Drosanthemum_calycinum	Drosanthemum_calycinum
Drosanthemum_capillare	Drosanthemum_capillare
Drosanthemum_chrysum	Drosanthemum_chrysum
Drosanthemum_collinum	Drosanthemum_collinum
Drosanthemum_comptonii	Drosanthemum_comptonii
Drosanthemum_crassum	Drosanthemum_crassum
Drosanthemum_croceum	Drosanthemum_croceum
Drosanthemum_curtophyllum	Drosanthemum_curtophyllum
Drosanthemum_cymiferum	Drosanthemum_cymiferum
Drosanthemum_deciduum	Drosanthemum_deciduum
Drosanthemum_dejagerae	Drosanthemum_dejagerae
Drosanthemum_delicatulum	Drosanthemum_delicatulum
Drosanthemum_diversifolium	
Drosanthemum_duplessiae	Drosanthemum_duplessiae
Drosanthemum_eburneum	Drosanthemum_eburneum
Drosanthemum_edwardsiae	Drosanthemum_edwardsiae
Drosanthemum_erigeriflorum	Drosanthemum_erigeriflorum
Drosanthemum_expersum	
Drosanthemum_flammeum	Drosanthemum_flammeum
Drosanthemum_flavum	Drosanthemum_flavum
Drosanthemum_floribundum	Drosanthemum_floribundum
Drosanthemum_fourcadei	Drosanthemum_fourcadei
Drosanthemum_fulleri	Drosanthemum_fulleri
Drosanthemum_giffenii	Drosanthemum_giffenii
Drosanthemum_glabrescens	Drosanthemum_glabrescens
Drosanthemum_globosum	Drosanthemum_globosum
Drosanthemum_godmaniae	Drosanthemum_godmaniae
Drosanthemum_gracillimum	Drosanthemum_gracillimum
Drosanthemum_hallii	Drosanthemum_hallii
Drosanthemum_hirtellum	Drosanthemum_hirtellum
Drosanthemum_hispidum	Drosanthemum_hispidum
Drosanthemum_inornatum	Drosanthemum_inornatum
Drosanthemum_insolitum	Drosanthemum_insolitum
Drosanthemum_jamesii	Drosanthemum_jamesii
Drosanthemum_karrooense	Drosanthemum_karrooense
Drosanthemum_lavisii	Drosanthemum_lavisii
Drosanthemum_laxum	Drosanthemum_laxum
Drosanthemum_leipoldtii	Drosanthemum_leipoldtii
Drosanthemum_leptum	Drosanthemum_leptum
Drosanthemum_lique	Drosanthemum_lique
Drosanthemum_longipes	Drosanthemum_longipes
Drosanthemum_macrocalyx	Drosanthemum_macrocalyx
Drosanthemum_marinum	Drosanthemum_marinum
Drosanthemum_micans	Drosanthemum_micans
Drosanthemum_muirii	Drosanthemum_muirii
Drosanthemum_nordenstamii	Drosanthemum_nordenstamii
Drosanthemum_oculatum	Drosanthemum_oculatum
Drosanthemum_opacum	Drosanthemum_opacum
Drosanthemum_pallens	Drosanthemum_pallens
Drosanthemum_papillatum	Drosanthemum_papillatum
Drosanthemum_parvifolium	Drosanthemum_parvifolium
Drosanthemum_pauper	Drosanthemum_pauper
Drosanthemum_pickhardii	Drosanthemum_pickhardii
Drosanthemum_praecultum	
Drosanthemum_pulchellum	Drosanthemum_pulchellum
Drosanthemum_pulchrum	Drosanthemum_pulchrum
Drosanthemum_pulverulentum	Drosanthemum_pulverulentum
Drosanthemum_ramosissimum	Drosanthemum_ramosissimum
Drosanthemum_schoenlandianum	Drosanthemum_schoenlandianum
Drosanthemum_semiglobosum	Drosanthemum_semiglobosum
Drosanthemum_speciosum	Drosanthemum_speciosum
Drosanthemum_splendens	Drosanthemum_splendens
Drosanthemum_striatum	Drosanthemum_striatum
Drosanthemum_strictifolium	Drosanthemum_strictifolium
Drosanthemum_subcompressum	Drosanthemum_subcompressum
Drosanthemum_subspinosum	Drosanthemum_subspinosum
Drosanthemum_tardum	Drosanthemum_tardum
Drosanthemum_thudichumii	Drosanthemum_thudichumii
Drosanthemum_tuberculiferum	Drosanthemum_tuberculiferum
Drosanthemum_vespertinum	Drosanthemum_vespertinum
Drosanthemum_wittebergense	Drosanthemum_wittebergense
Drosanthemum_worcesterense	Drosanthemum_worcesterense
Drosanthemum_zygophylloides	Drosanthemum_zygophylloides
Eberlanzia_clausa	Eberlanzia_clausa
Eberlanzia_cyathiformis	Eberlanzia_cyathiformis
Eberlanzia_dichotoma	Eberlanzia_dichotoma
Eberlanzia_ebracteata	Eberlanzia_ebracteata
Eberlanzia_gravida	Eberlanzia_gravida
Eberlanzia_parvibracteata	Eberlanzia_parvibracteata
Eberlanzia_schneideriana	Eberlanzia_schneideriana
Eberlanzia_sedoides	Eberlanzia_sedoides
Enarganthe_octonaria	Enarganthe_octonaria
Erepsia_anceps	Erepsia_anceps
Erepsia_aperta	Erepsia_aperta
Erepsia_aristata	Erepsia_aristata
Erepsia_aspera	Erepsia_aspera
Erepsia_babiloniae	Erepsia_babiloniae
Erepsia_bracteata	Erepsia_bracteata
Erepsia_brevipetala	Erepsia_brevipetala
Erepsia_distans	Erepsia_distans
Erepsia_dubia	Erepsia_dubia
Erepsia_dunensis	Erepsia_dunensis
Erepsia_esterhuyseniae	Erepsia_esterhuyseniae
Erepsia_forficata	Erepsia_forficata
Erepsia_gracilis	Erepsia_gracilis
Erepsia_hallii	Erepsia_hallii
Erepsia_heteropetala	Erepsia_heteropetala
Erepsia_inclaudens	Erepsia_inclaudens
Erepsia_insignis	Erepsia_insignis
Erepsia_lacera	Erepsia_lacera
Erepsia_oxysepala	Erepsia_oxysepala
Erepsia_patula	Erepsia_patula
Erepsia_pentagona	Erepsia_pentagona
Erepsia_pillansii	Erepsia_pillansii
Erepsia_polita	Erepsia_polita
Erepsia_polypetala	Erepsia_polypetala
Erepsia_promontorii	Erepsia_promontorii
Erepsia_ramosa	Erepsia_ramosa
Erepsia_saturata	Erepsia_saturata
Erepsia_steytlerae	Erepsia_steytlerae
Erepsia_urbaniana	Erepsia_urbaniana
Erepsia_villiersii	Erepsia_villiersii
Esterhuysenia_alpina	Esterhuysenia_alpina
Esterhuysenia_drepanophylla	Esterhuysenia_drepanophylla
Esterhuysenia_inclaudens	Esterhuysenia_inclaudens
Esterhuysenia_stokoei	Esterhuysenia_stokoei
Hartmanthus_hallii	
Hartmanthus_pergamentaceus	Hartmanthus_pergamentaceus
Hereroa_aspera	Hereroa_aspera
Hereroa_brevifolia	Hereroa_brevifolia
Hereroa_crassa	Hereroa_crassa
Hereroa_fimbriata	Hereroa_fimbriata
Hereroa_glenensis	Hereroa_glenensis
Hereroa_hesperantha	Hereroa_hesperantha
Hereroa_joubertii	Hereroa_joubertii
Hereroa_latipetala	Hereroa_latipetala
Hereroa_nelii	Hereroa_nelii
Hereroa_odorata	Hereroa_odorata
Hereroa_tenuifolia	Hereroa_tenuifolia
