band	mean	std_dev
1	81.4174152009707	148.17857345221398
2	185.63930346192106	96.60503178883098
3	-25.22226560706595	203.98573321545413
4	709.2351022431723	686.5840095324861
5	117.3085359812988	112.19035268672883
6	21.096207342936623	31.71138135506083
7	60.32065354488028	33.870260625676984
8	310.6307839539448	298.3216805970837
9	74.11459157161087	105.37716361652902
10	210.19438265869417	188.69418154964245
11	129.34639192837858	207.64327470751155
12	110.88932390332418	31.340964985024073
13	38.19100534537226	20.66571926539352
14	8282.274888993343	5200.29072502881
15	257.45225522239593	103.29954319730187
16	-90.04244028814726	199.87597040049064
17	347.49504530995506	138.08414735624038
18	152.32171649289356	105.74997712231337
19	23.70274667022251	204.95197759352482
20	3.0967334982979704	1.810682279765754
21	124.00510517538984	24.484452520906135
22	17.9245231966302	10.943578349472764
23	1040.2050594112438	612.1019079586871
24	55.52288409615112	26.38862182379562
25	-0.23930898219302368	0.48568755934162894
26	23.380982717722805	14.392165314522165
27	122.2044813677157	203.25845848236685
28	50267.2603718805	44785.25320234522
29	48078.02155551426	45903.11946619539
30	17.203285386831258	216.58637415959868
31	138.69450685315394	83.65080532332583
32	6.549617078956286	4.710975430171689
33	46.28196718444267	51.66556738776941
34	72.63039101015511	68.70970256838675
35	3953.813758922618	1743.476716233462
36	136.92850406095255	51.058432764068755
37	109.02378767175698	51.48968677214009
38	158.4367324362436	395.6031854899407
39	371.3911035187616	691.2341639782737
40	59.15196646101024	12.111473104818664
41	0.014850316823467956	0.023800084177309347
42	8.813361273070653	18.547566062454717
43	124193.748566166	263100.38642509695
44	46190694346.12791	107949543878.55435
45	93.98870509570642	58.983063713055934
46	1802.0259055926163	1627.4812381756417
47	0.17896058491187003	0.3833193107056717
48	0.17964656540197188	0.3838927935521153
49	0.0077409735284672205	0.08764160460248771
50	0.005547690277448575	0.07427592752725533
51	0.005120604494066242	0.07137495291544213
52	0.02346392033791487	0.15137161154024506
53	0.03483074410196647	0.18335092955114732
54	0.035641534315692905	0.18539475544717082
55	0.09651583557920795	0.29529735701772775
56	0.032891157272639006	0.17835170042897133
