"","X","gbifID","decimalLatitude","decimalLongitude","acceptedScientificName"
"1",0,2292008310,8.621389,-8.889722,"Dioscorea praehensilis Benth."
"2",1,2291964631,3.466667,25.716667,"Dioscorea praehensilis Benth."
"5",4,2291963933,10.583333,14.333333,"Dioscorea praehensilis Benth."
"6",5,2291963924,-4,29.5,"Dioscorea praehensilis Benth."
"7",6,2291963905,-1.333333,28.766667,"Dioscorea praehensilis Benth."
"8",7,2291963886,3.3,25.783333,"Dioscorea praehensilis Benth."
"9",8,2291963883,-1.366667,28.75,"Dioscorea praehensilis Benth."
"10",9,2291963865,10.75,13.716667,"Dioscorea praehensilis Benth."
"11",10,2291963855,-4.466667,15.283333,"Dioscorea praehensilis Benth."
"12",11,2291963846,-4.664444,29.625278,"Dioscorea praehensilis Benth."
"13",12,2291963839,-3.983333,29.433333,"Dioscorea praehensilis Benth."
"14",13,2291963836,-9.266667,26.133333,"Dioscorea praehensilis Benth."
"15",14,2291963835,3.833333,11.333333,"Dioscorea praehensilis Benth."
"16",15,2291963826,5.816667,10.083333,"Dioscorea praehensilis Benth."
"17",16,2291963816,6.966667,-10.783333,"Dioscorea praehensilis Benth."
"18",17,2291963782,4.9,9.983333,"Dioscorea praehensilis Benth."
"19",18,2291963752,-1.333333,28.766667,"Dioscorea praehensilis Benth."
"20",19,2291963701,-2.806111,13.592667,"Dioscorea praehensilis Benth."
"21",20,2291963642,5.9,-4.833333,"Dioscorea praehensilis Benth."
"22",21,2291963641,3.783333,10.966667,"Dioscorea praehensilis Benth."
"23",22,2291963582,-1.266667,28.75,"Dioscorea praehensilis Benth."
"24",23,2291963525,3.833333,11.333333,"Dioscorea praehensilis Benth."
"25",24,2291963508,-3.983333,29.433333,"Dioscorea praehensilis Benth."
"26",25,2291963424,2.7,25.716667,"Dioscorea praehensilis Benth."
"27",26,2291963397,5.85,-7.416667,"Dioscorea praehensilis Benth."
"28",27,2291963368,-5.45,14.9,"Dioscorea praehensilis Benth."
"30",29,2291962973,0.233333,34.8625,"Dioscorea praehensilis Benth."
"31",30,2291908158,9.3,2.183333,"Dioscorea praehensilis Benth."
"32",31,2290669321,7.923333,-2.025,"Dioscorea praehensilis Benth."
"33",32,2290642057,6.816667,2.466667,"Dioscorea praehensilis Benth."
"34",33,2290586819,-4.315,37.91,"Dioscorea praehensilis Benth."
"35",34,2290550866,-9.283333,33.616667,"Dioscorea praehensilis Benth."
"36",35,2290512739,-1.266667,28.75,"Dioscorea praehensilis Benth."
"37",36,2290498169,7.133333,3.833333,"Dioscorea praehensilis Benth."
"38",37,2290496951,7.428333,3.895,"Dioscorea praehensilis Benth."
"39",38,2290433990,10.083333,9,"Dioscorea praehensilis Benth."
"40",39,2290279699,6.783333,3.066667,"Dioscorea praehensilis Benth."
"41",40,2290248062,-3.133333,29.266667,"Dioscorea praehensilis Benth."
"42",41,2290209169,-9.283333,33.616667,"Dioscorea praehensilis Benth."
"43",42,2290208016,6.55,-5.016667,"Dioscorea praehensilis Benth."
"44",43,2290177217,-1.333333,28.766667,"Dioscorea praehensilis Benth."
"45",44,2290159064,5.866667,-4.9,"Dioscorea praehensilis Benth."
"46",45,2290125187,6.733333,2.116667,"Dioscorea praehensilis Benth."
"47",46,2290023700,8.733333,2.6,"Dioscorea praehensilis Benth."
"48",47,2290004530,7.133333,3.833333,"Dioscorea praehensilis Benth."
"49",48,2289928241,-5.016667,30.083333,"Dioscorea praehensilis Benth."
"50",49,2289903156,-1.366667,28.75,"Dioscorea praehensilis Benth."
"51",50,2289899346,3.466667,25.716667,"Dioscorea praehensilis Benth."
"52",51,2289866170,0.233333,34.8625,"Dioscorea praehensilis Benth."
"53",52,2289827585,-1.333333,28.766667,"Dioscorea praehensilis Benth."
"54",53,2289577064,6.966667,-10.783333,"Dioscorea praehensilis Benth."
"55",54,2289558132,6.666667,-3.266667,"Dioscorea praehensilis Benth."
"56",55,2289555157,-5.966667,22.816667,"Dioscorea praehensilis Benth."
