"","X","gbifID","decimalLatitude","decimalLongitude","acceptedScientificName"
"1",0,2236891114,22.622138,103.856579,"Musa balbisiana Colla"
"2",1,2236881336,23.367624,99.415457,"Musa balbisiana Colla"
"3",2,2236881255,23.117509,99.826756,"Musa balbisiana Colla"
"4",3,2236881067,23.228261,99.03554,"Musa balbisiana Colla"
"5",4,2236834098,22.381874,100.954047,"Musa balbisiana Colla"
"6",5,2236834080,22.087284,100.897293,"Musa balbisiana Colla"
"7",6,2235535028,21.202285,101.152834,"Musa balbisiana Colla"
"8",7,2235534309,20.973772,100.856694,"Musa balbisiana Colla"
"9",8,2235533616,21.005876,100.940895,"Musa balbisiana Colla"
"10",9,2235533582,21.178495,101.20197,"Musa balbisiana Colla"
"11",10,2235532883,21.027967,100.967507,"Musa balbisiana Colla"
"12",11,2235532858,20.978324,101.48496,"Musa balbisiana Colla"
"13",12,2234799551,21.434235,101.924335,"Musa balbisiana Colla"
"14",13,2234799038,21.009925,101.40858,"Musa balbisiana Colla"
"15",14,2234797885,21.047332,101.576034,"Musa balbisiana Colla"
"16",15,2234766519,21.361265,102.015524,"Musa balbisiana Colla"
"17",16,2234753187,20.283894,102.406248,"Musa balbisiana Colla"
"18",17,2234752597,19.948823,102.236664,"Musa balbisiana Colla"
"19",18,2234746383,19.677965,102.113669,"Musa balbisiana Colla"
"20",19,2234744831,19.122217,102.359528,"Musa balbisiana Colla"
"21",20,2234743495,18.92588,102.4494,"Musa balbisiana Colla"
"22",21,2028500498,21.655486,105.108845,"Musa balbisiana Colla"
"23",22,2028488985,21.674237,105.051149,"Musa balbisiana Colla"
"24",23,2028488971,21.644583,105.106026,"Musa balbisiana Colla"
"25",24,2028439573,21.616155,104.77953,"Musa balbisiana Colla"
"26",25,1950002940,21.682198,104.910401,"Musa balbisiana Colla"
"27",26,1950001821,21.488133,104.829868,"Musa balbisiana Colla"
"28",27,1950001156,21.47031,104.745252,"Musa balbisiana Colla"
"29",28,1949994405,21.246255,104.952283,"Musa balbisiana Colla"
"30",29,1949994050,21.0929,105.306886,"Musa balbisiana Colla"
"31",30,1949989989,20.585036,105.698129,"Musa balbisiana Colla"
"32",31,1949989902,20.737077,105.448666,"Musa balbisiana Colla"
"33",32,1948787297,21.152019,104.142216,"Musa balbisiana Colla"
"34",33,1948787202,20.320456,105.628142,"Musa balbisiana Colla"
"35",34,1948778576,21.535949,103.634092,"Musa balbisiana Colla"
"36",35,1948778317,21.565176,103.535336,"Musa balbisiana Colla"
"37",36,1948777873,21.525564,103.184643,"Musa balbisiana Colla"
"38",37,1948776152,21.438451,103.048514,"Musa balbisiana Colla"
"39",38,1948773658,22.022195,102.769141,"Musa balbisiana Colla"
"40",39,1948773641,22.033985,102.741092,"Musa balbisiana Colla"
"41",40,1948758505,21.935321,102.891322,"Musa balbisiana Colla"
"42",41,1948758325,21.76211,103.092775,"Musa balbisiana Colla"
"43",42,1948756270,21.620376,103.036685,"Musa balbisiana Colla"
"44",43,1948752945,21.7652,103.091732,"Musa balbisiana Colla"
"45",44,1948752447,22.393567,103.194704,"Musa balbisiana Colla"
"46",45,1948752377,22.089122,103.167221,"Musa balbisiana Colla"
"47",46,1948751432,22.446974,103.390067,"Musa balbisiana Colla"
"48",47,1948750502,22.342899,103.59354,"Musa balbisiana Colla"
"49",48,1948750232,22.344528,103.82684,"Musa balbisiana Colla"
"50",49,1946352873,21.513934,105.207395,"Musa balbisiana Colla"
"51",50,1946347619,22.092529,105.031521,"Musa balbisiana Colla"
"52",51,1946347610,21.972441,105.09653,"Musa balbisiana Colla"
"53",52,1946345215,22.160907,105.204958,"Musa balbisiana Colla"
"54",53,1946344867,22.331714,105.373292,"Musa balbisiana Colla"
"55",54,1946340969,22.468833,105.598767,"Musa balbisiana Colla"
"56",55,1946340824,22.47928,105.678979,"Musa balbisiana Colla"
"57",56,1946337772,22.451616,105.673683,"Musa balbisiana Colla"
"58",57,1946331842,22.43444,105.756403,"Musa balbisiana Colla"
"59",58,1946331554,22.28566,105.871516,"Musa balbisiana Colla"
"60",59,1946331466,22.19934,105.862312,"Musa balbisiana Colla"
"61",60,1946331000,22.185372,105.847256,"Musa balbisiana Colla"
"62",61,1946329336,22.107582,105.86248,"Musa balbisiana Colla"
"63",62,1946323526,21.748875,105.703886,"Musa balbisiana Colla"
"64",63,1946322790,21.586454,105.700122,"Musa balbisiana Colla"
"65",64,1946322262,21.588406,105.792738,"Musa balbisiana Colla"
"66",65,1946317082,21.048567,106.603024,"Musa balbisiana Colla"
"67",66,1946316616,21.009919,106.835126,"Musa balbisiana Colla"
"68",67,1946316478,20.929923,106.99287,"Musa balbisiana Colla"
"69",68,1946314641,21.114741,107.087159,"Musa balbisiana Colla"
"70",69,1946314145,20.999142,106.887065,"Musa balbisiana Colla"
"71",70,1946314125,21.073443,106.71364,"Musa balbisiana Colla"
"72",71,1946314094,21.119316,106.610854,"Musa balbisiana Colla"
"74",73,1563581781,23.083333,106,"Musa balbisiana Colla"
"75",74,1563547923,19.06822,105.290453,"Musa balbisiana Colla"
"76",75,1563532826,19.05,105.05,"Musa balbisiana Colla"
"77",76,1563521029,23.711519,91.751706,"Musa balbisiana Colla"
"78",77,1563517380,23.833333,106,"Musa balbisiana Colla"
"80",79,1304192188,21.672917,103.624217,"Musa balbisiana var. liukiuensis (Matsum.) Häkkinen"
"81",80,1304192184,21.639217,104.074283,"Musa balbisiana var. liukiuensis (Matsum.) Häkkinen"
"82",81,1304192145,24.702333,97.573017,"Musa balbisiana Colla"
"83",82,1304192127,24.651267,97.585733,"Musa balbisiana Colla"
"84",83,1304192122,22.31335,100.917883,"Musa balbisiana Colla"
"85",84,1304192114,22.0097,100.733917,"Musa balbisiana Colla"
"86",85,1304192103,22.032367,100.783467,"Musa balbisiana Colla"
"87",86,1304192087,24.73335,100.510567,"Musa balbisiana Colla"
"88",87,1303974257,18.626309,109.700342,"Musa balbisiana Colla"
"89",88,1303974239,25.22845,113.217309,"Musa balbisiana Colla"
"91",90,1303969151,22.097768,107.957979,"Musa balbisiana Colla"
"92",91,1303969099,23.932672,112.199131,"Musa balbisiana Colla"
"93",92,1303968893,18.516726,110.029085,"Musa balbisiana Colla"
"94",93,1303968873,24.186045,113.415062,"Musa balbisiana Colla"
"95",94,1303968844,18.252625,109.511923,"Musa balbisiana Colla"
"98",97,1303795522,22.446542,111.031652,"Musa balbisiana Colla"
"99",98,1302618801,22.629722,91.673889,"Musa balbisiana Colla"
"101",100,1302322408,23.08,106,"Musa balbisiana Colla"
"105",104,1300513528,22.582222,91.687778,"Musa balbisiana Colla"
"106",105,1030952905,22.010392,107.325268,"Musa balbisiana Colla"
"107",106,1030952898,22.391288,106.817838,"Musa balbisiana Colla"
"108",107,1030952890,24.538798,106.991322,"Musa balbisiana Colla"
"109",108,1030952889,22.75506,109.207192,"Musa balbisiana Colla"
"111",110,1030952869,25.60168,110.585686,"Musa balbisiana Colla"
"113",112,1030952852,24.175587,110.235565,"Musa balbisiana Colla"
"115",114,1030952821,23.688233,113.045465,"Musa balbisiana Colla"
