"","X","gbifID","decimalLatitude","decimalLongitude","acceptedScientificName"
"1",0,1821814084,24.166667,121,"Colocasia esculenta (L.) Schott"
"2",1,1086052552,23.662038,120.799139,"Colocasia esculenta (L.) Schott"
"3",2,1086052551,23.665466,120.797153,"Colocasia esculenta (L.) Schott"
"4",3,1086052548,23.662398,120.798687,"Colocasia esculenta (L.) Schott"
"5",4,1086052547,24.078435,121.032081,"Colocasia esculenta (L.) Schott"
"6",5,1086052542,24.403483,120.985082,"Colocasia esculenta (L.) Schott"
"7",6,1086052537,24.416242,121.00492,"Colocasia esculenta (L.) Schott"
"8",7,1086052536,24.403366,120.985191,"Colocasia esculenta (L.) Schott"
"9",8,1086052529,23.662145,120.798707,"Colocasia esculenta (L.) Schott"
"10",9,1086052526,23.665105,120.797065,"Colocasia esculenta (L.) Schott"
"11",10,1086052518,23.664022,120.797175,"Colocasia esculenta (L.) Schott"
"12",11,1086052509,23.66375,120.796479,"Colocasia esculenta (L.) Schott"
"13",12,1085989175,24.09,121.15,"Colocasia esculenta (L.) Schott"
"14",13,1085988136,24.38,121.72,"Colocasia esculenta (L.) Schott"
"15",14,891696756,24.480556,121.474722,"Colocasia esculenta (L.) Schott"
"16",15,891696742,23.841389,120.888611,"Colocasia esculenta (L.) Schott"
"17",16,891696740,22.508333,120.692778,"Colocasia esculenta (L.) Schott"
"18",17,891696734,24.520556,121.503611,"Colocasia esculenta (L.) Schott"
"19",18,891696732,22.703056,120.905278,"Colocasia esculenta (L.) Schott"
"20",19,891696728,24.453056,121.636111,"Colocasia esculenta (L.) Schott"
"21",20,891696724,22.895833,120.925,"Colocasia esculenta (L.) Schott"
"22",21,891696722,24.516111,121.460278,"Colocasia esculenta (L.) Schott"
"23",22,891696721,24.480556,121.474722,"Colocasia esculenta (L.) Schott"
"24",23,891696709,21.906944,120.843333,"Colocasia esculenta (L.) Schott"
"26",25,891651040,24.544722,121.670278,"Colocasia esculenta (L.) Schott"
"27",26,891648371,24.044722,121.526111,"Colocasia esculenta (L.) Schott"
"28",27,891645334,22.056389,121.514444,"Colocasia esculenta (L.) Schott"
"29",28,353075126,24.166667,121,"Colocasia esculenta (L.) Schott"
