"","X","gbifID","decimalLatitude","decimalLongitude","acceptedScientificName"
"1",0,1563632511,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
"2",1,1305073576,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
"3",2,1302279741,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
"4",3,1302273311,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
"5",4,1302273263,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
"6",5,1300812653,-21,-63.5,"Arachis ipaensis Krapov. & W.C.Greg."
"7",6,1300485454,-21.3,-63.45,"Arachis ipaensis Krapov. & W.C.Greg."
"8",7,1260852956,-21,-63.42,"Arachis ipaensis Krapov. & W.C.Greg."
"9",8,1258639936,-21,-63,"Arachis ipaensis Krapov. & W.C.Greg."
"11",10,47532456,-21,-63.24,"Arachis ipaensis Krapov. & W.C.Greg."
"12",11,40169170,-21,-63.4,"Arachis ipaensis Krapov. & W.C.Greg."
