maherali_name	family	has_am	has_ecm	has_nm	has_er	has_orm	has_nfix
Abelmoschus_esculentus	Malvaceae	1	0	0	0	0	
Abildgaardia_ovata	Cyperaceae	1	0	0	0	0	
Abronia_maritima	Nyctaginaceae	1	0	0	0	0	
Abronia_umbellata	Nyctaginaceae	1	0	0	0	0	
Abutilon_hybridum	Malvaceae	1	0	0	0	0	
Abutilon_indicum	Malvaceae	1	0	0	0	0	
Abutilon_otocarpum	Malvaceae	1	0	0	0	0	
Abutilon_theophrasti	Malvaceae	1	0	0	0	0	
Acacia_albida	Fabaceae	1	0	0	0	0	
Acacia_auriculiformis	Fabaceae	1	0	0	0	0	
Acacia_cochliacantha	Fabaceae	1	0	0	0	0	
Acacia_constricta	Fabaceae	1	0	0	0	0	
Acacia_dealbata	Fabaceae	1	0	0	0	0	
Acacia_farnesiana	Fabaceae	1	0	0	0	0	
Acacia_koa	Fabaceae	1	0	0	0	0	
Acacia_pennatula	Fabaceae	1	0	0	0	0	
Acacia_polyphylla	Fabaceae	1	0	0	0	0	
Acacia_tortilis	Fabaceae	1	0	0	0	0	
Acaena_magellanica	Rosaceae	1	0	0	0	0	
Acaena_novae-zelandiae	Rosaceae	1	0	0	0	0	
Acaena_ovalifolia	Rosaceae	1	0	0	0	0	
Acaena_pinnatifida	Rosaceae	1	0	0	0	0	
Acalypha_acmophylla	Euphorbiaceae	1	0	0	0	0	
Acca_sellowiana	Myrtaceae	1	0	0	0	0	
Acer_buergerianum	Sapindaceae	1	0	0	0	0	
Acer_cappadocicum	Sapindaceae	1	0	0	0	0	
Acer_davidii	Sapindaceae	1	0	0	0	0	
Acer_ginnala	Sapindaceae	1	0	0	0	0	
Acer_pubescens	Sapindaceae	1	0	0	0	0	
Acer_rubrum	Sapindaceae	1	0	0	0	0	
Acer_saccharinum	Sapindaceae	1	0	0	0	0	
Acer_saccharum	Sapindaceae	1	0	0	0	0	
Acer_spicatum	Sapindaceae	1	0	0	0	0	
Acer_turkestanicum	Sapindaceae	1	0	0	0	0	
Achillea_nobilis	Asteraceae	1	0	0	0	0	
