steidinger_name	family	has_am	has_ecm	has_nm	has_er	has_orm	has_nfix
Abarema_acreana	Leguminosae	0	0	0	0	0	1
Abarema_adenophora	Leguminosae	0	0	0	0	0	1
Abarema_auriculata	Leguminosae	0	0	0	0	0	1
Abarema_barbouriana	Leguminosae	0	0	0	0	0	1
Abarema_cochleata	Leguminosae	0	0	0	0	0	1
Abarema_commutata	Leguminosae	0	0	0	0	0	1
Abarema_curvicarpa	Leguminosae	0	0	0	0	0	1
Abarema_filamentosa	Leguminosae	0	0	0	0	0	1
Abarema_floribunda	Leguminosae	0	0	0	0	0	1
Abarema_idiopoda	Leguminosae	0	0	0	0	0	1
Abarema_jupunba	Leguminosae	0	0	0	0	0	1
Abarema_laeta	Leguminosae	0	0	0	0	0	1
Abarema_langsdorffii	Leguminosae	0	0	0	0	0	1
Abarema_macradenia	Leguminosae	0	0	0	0	0	1
Abarema_mataybifolia	Leguminosae	0	0	0	0	0	1
Abarema_microcalyx	Leguminosae	0	0	0	0	0	1
Abarema_racemiflora	Leguminosae	0	0	0	0	0	1
Abarema_turbinata	Leguminosae	0	0	0	0	0	1
Aberemoa_argentea	Annonaceae	1	0	0	0	0	0
Abies_alba	Pinaceae	0	1	0	0	0	0
Abies_amabilis	Pinaceae	0	1	0	0	0	0
Abies_balsamea	Pinaceae	0	1	0	0	0	0
Abies_cephalonica	Pinaceae	0	1	0	0	0	0
Abies_concolor	Pinaceae	0	1	0	0	0	0
Abies_durangensis	Pinaceae	0	1	0	0	0	0
Abies_fabri	Pinaceae	0	1	0	0	0	0
Abies_firma	Pinaceae	0	1	0	0	0	0
Abies_fraseri	Pinaceae	0	1	0	0	0	0
Abies_georgei	Pinaceae	0	1	0	0	0	0
Abies_grandis	Pinaceae	0	1	0	0	0	0
Abies_holophylla	Pinaceae	0	1	0	0	0	0
Abies_kawakamii	Pinaceae	0	1	0	0	0	0
Abies_koreana	Pinaceae	0	1	0	0	0	0
Abies_lasiocarpa	Pinaceae	0	1	0	0	0	0
Abies_magnifica	Pinaceae	0	1	0	0	0	0
Abies_nephrolepis	Pinaceae	0	1	0	0	0	0
Abies_nordmanniana	Pinaceae	0	1	0	0	0	0
Abies_pinsapo	Pinaceae	0	1	0	0	0	0
Abies_procera	Pinaceae	0	1	0	0	0	0
Abies_religiosa	Pinaceae	0	1	0	0	0	0
Abies_sachalinensis	Pinaceae	0	1	0	0	0	0
Abies_shastensis	Pinaceae	0	1	0	0	0	0
Abies_sibirica	Pinaceae	0	1	0	0	0	0
Abies_spectabilis	Pinaceae	0	1	0	0	0	0
Abies_veitchii	Pinaceae	0	1	0	0	0	0
Abies_vejari	Pinaceae	0	1	0	0	0	0
Abrahamia_ditimena	Anacardiaceae	1	0	0	0	0	0
Abrahamia_lenticellata	Anacardiaceae	1	0	0	0	0	0
Abrahamia_thouvenotii	Anacardiaceae	1	0	0	0	0	0
Abroma_augusta	Malvaceae	1	0	0	0	0	0
Abuta_grandifolia	Menispermaceae	1	0	0	0	0	0
Abuta_grisebachii	Menispermaceae	1	0	0	0	0	0
Abuta_pahnii	Menispermaceae	1	0	0	0	0	0
Abuta_panamensis	Menispermaceae	1	0	0	0	0	0
Abuta_panurensis	Menispermaceae	1	0	0	0	0	0
Abuta_racemosa	Menispermaceae	1	0	0	0	0	0
Abuta_rufescens	Menispermaceae	1	0	0	0	0	0
Abuta_solimoesensis	Menispermaceae	1	0	0	0	0	0
Acacia_acanthophylla	Leguminosae	0	1	0	0	0	1
Acacia_albicorticata	Leguminosae	0	1	0	0	0	1
Acacia_alemquerensis	Leguminosae	0	1	0	0	0	1
Acacia_altiscandens	Leguminosae	0	1	0	0	0	1
Acacia_anegadensis	Leguminosae	0	1	0	0	0	1
Acacia_aneura	Leguminosae	0	1	0	0	0	1
Acacia_angustissima	Leguminosae	0	1	0	0	0	1
Acacia_arabica	Leguminosae	0	1	0	0	0	1
Acacia_argyrodendron	Leguminosae	0	1	0	0	0	1
Acacia_articulata	Leguminosae	0	1	0	0	0	1
Acacia_aulacocarpa	Leguminosae	0	1	0	0	0	1
Acacia_auriculiformis	Leguminosae	0	1	0	0	0	1
Acacia_bonariensis	Leguminosae	0	1	0	0	0	1
Acacia_borleae	Leguminosae	0	1	0	0	0	1
Acacia_burkei	Leguminosae	0	1	0	0	0	1
Acacia_caffra	Leguminosae	0	1	0	0	0	1
Acacia_cambagei	Leguminosae	0	1	0	0	0	1
Acacia_caven	Leguminosae	0	1	0	0	0	1
Acacia_concurrens	Leguminosae	0	1	0	0	0	1
Acacia_confusa	Leguminosae	0	1	0	0	0	1
Acacia_cornigera	Leguminosae	0	1	0	0	0	1
Acacia_crassicarpa	Leguminosae	0	1	0	0	0	1
Acacia_dealbata	Leguminosae	0	1	0	0	0	1
Acacia_disparrima	Leguminosae	0	1	0	0	0	1
Acacia_dolichostachya	Leguminosae	0	1	0	0	0	1
Acacia_doratoxylon	Leguminosae	0	1	0	0	0	1
Acacia_drakei	Leguminosae	0	1	0	0	0	1
Acacia_excelsa	Leguminosae	0	1	0	0	0	1
Acacia_falcata	Leguminosae	0	1	0	0	0	1
Acacia_farnesiana	Leguminosae	0	1	0	0	0	1
Acacia_feddeana	Leguminosae	0	1	0	0	0	1
Acacia_fimbriata	Leguminosae	0	1	0	0	0	1
Acacia_flavescens	Leguminosae	0	1	0	0	0	1
Acacia_flexuosa	Leguminosae	0	1	0	0	0	1
Acacia_gentlei	Leguminosae	0	1	0	0	0	1
Acacia_georginae	Leguminosae	0	1	0	0	0	1
Acacia_gerrardii	Leguminosae	0	1	0	0	0	1
Acacia_glomerosa	Leguminosae	0	1	0	0	0	1
Acacia_grandicornuta	Leguminosae	0	1	0	0	0	1
Acacia_guadalupensis	Leguminosae	0	1	0	0	0	1
Acacia_hindsii	Leguminosae	0	1	0	0	0	1
Acacia_huberi	Leguminosae	0	1	0	0	0	1
Acacia_hybrid	Leguminosae	0	1	0	0	0	1
Acacia_hylonoma	Leguminosae	0	1	0	0	0	1
Acacia_implexa	Leguminosae	0	1	0	0	0	1
Acacia_irrorata	Leguminosae	0	1	0	0	0	1
Acacia_kamerunensis	Leguminosae	0	1	0	0	0	1
Acacia_karroo	Leguminosae	0	1	0	0	0	1
Acacia_klugii	Leguminosae	0	1	0	0	0	1
Acacia_koa	Leguminosae	0	1	0	0	0	1
Acacia_koaia	Leguminosae	0	1	0	0	0	1
Acacia_kuhlmannii	Leguminosae	0	1	0	0	0	1
Acacia_leiocalyx	Leguminosae	0	1	0	0	0	1
Acacia_loretensis	Leguminosae	0	1	0	0	0	1
Acacia_macbridei	Leguminosae	0	1	0	0	0	1
Acacia_macracantha	Leguminosae	0	1	0	0	0	1
Acacia_macrantha	Leguminosae	0	1	0	0	0	1
Acacia_maidenii	Leguminosae	0	1	0	0	0	1
Acacia_mangium	Leguminosae	0	1	0	0	0	1
Acacia_mearnsii	Leguminosae	0	1	0	0	0	1
Acacia_melanoceras	Leguminosae	0	1	0	0	0	1
Acacia_melanoxylon	Leguminosae	0	1	0	0	0	1
Acacia_mollissima	Leguminosae	0	1	0	0	0	1
Acacia_muricata	Leguminosae	0	1	0	0	0	1
Acacia_myriophylla	Leguminosae	0	1	0	0	0	1
Acacia_nigrescens	Leguminosae	0	1	0	0	0	1
Acacia_nilotica	Leguminosae	0	1	0	0	0	1
Acacia_oshanesii	Leguminosae	0	1	0	0	0	1
Acacia_pendula	Leguminosae	0	1	0	0	0	1
Acacia_pennata	Leguminosae	0	1	0	0	0	1
Acacia_pennatula	Leguminosae	0	1	0	0	0	1
Acacia_penninervis	Leguminosae	0	1	0	0	0	1
Acacia_pentagona	Leguminosae	0	1	0	0	0	1
Acacia_platycarpa	Leguminosae	0	1	0	0	0	1
Acacia_plectocarpa	Leguminosae	0	1	0	0	0	1
Acacia_podalyriifolia	Leguminosae	0	1	0	0	0	1
Acacia_polyphylla	Leguminosae	0	1	0	0	0	1
Acacia_praecox	Leguminosae	0	1	0	0	0	1
Acacia_pteridifolia	Leguminosae	0	1	0	0	0	1
Acacia_rhodoxylon	Leguminosae	0	1	0	0	0	1
Acacia_riparia	Leguminosae	0	1	0	0	0	1
Acacia_rothii	Leguminosae	0	1	0	0	0	1
Acacia_senegal	Leguminosae	0	1	0	0	0	1
Acacia_seyal	Leguminosae	0	1	0	0	0	1
Acacia_sparsiflora	Leguminosae	0	1	0	0	0	1
Acacia_stenophylla	Leguminosae	0	1	0	0	0	1
Acacia_tacanensis	Leguminosae	0	1	0	0	0	1
Acacia_tamarindifolia	Leguminosae	0	1	0	0	0	1
Acacia_tenuifolia	Leguminosae	0	1	0	0	0	1
Acacia_tenuissima	Leguminosae	0	1	0	0	0	1
