allmb_name	gbif_species_key	num_occurrences	myco_state
Drypetes_indica	3075923	629	arbuscular
Drypetes_hoaensis	3075673	35	neither
Drypetes_madagascariensis	3075958	853	arbuscular
Drypetes_lateriflora	3075805	1053	arbuscular
Drypetes_alba	3075998	347	arbuscular
Drypetes_glauca	3076000	245	arbuscular
Drypetes_brownii	3075891	310	arbuscular
Drypetes_gerrardii	3075865	438	arbuscular
Drypetes_gilgiana	3075759	641	arbuscular
Drypetes_fallax	3075667	8	arbuscular
Drypetes_ugandensis	3076017	44	arbuscular
Drypetes_standleyi	3075619	191	arbuscular
Drypetes_longifolia	3075623	596	arbuscular
Drypetes_aframensis	3075616	246	arbuscular
Drypetes_cinnabarina	3075956	138	arbuscular
Drypetes_aubrevillei	3075740	149	arbuscular
Drypetes_paxii	3075823	260	arbuscular
Drypetes_ituriensis	3075839	151	arbuscular
Drypetes_pellegrinii	3075809	102	arbuscular
Drypetes_dinklagei	3075971	133	arbuscular
Drypetes_calvescens	3075818	58	arbuscular
Drypetes_viridis	3075711	3	arbuscular
Drypetes_microphylla	3075756	147	arbuscular
Drypetes_spinosodentata	3075703	99	arbuscular
Drypetes_vitiensis	3075697	29	arbuscular
Drypetes_occidentalis	3075692	99	arbuscular
Drypetes_laevis	3075945	34	arbuscular
Drypetes_amazonica	3075969	594	arbuscular
Drypetes_dolichocarpa	3075895	22	arbuscular
Drypetes_bipindensis	3075964	174	arbuscular
Drypetes_polyantha	3075966	52	arbuscular
Drypetes_ivorensis	3075770	249	arbuscular
Drypetes_chevalieri	3075976	188	arbuscular
Drypetes_bakembei	3075977	45	arbuscular
Drypetes_preussii	3075907	71	arbuscular
Drypetes_capillipes	3075737	312	arbuscular
Drypetes_perrieri	3075698	152	arbuscular
Drypetes_gossweileri	3075913	383	arbuscular
Drypetes_pendula	3075764	42	arbuscular
Drypetes_kikir	3075651	56	arbuscular
Drypetes_sessiliflora	3075858	84	arbuscular
Drypetes_klainei	3075644	68	arbuscular
Drypetes_afzelii	3076024	283	arbuscular
Drypetes_angustifolia	3075909	173	arbuscular
Drypetes_molunduana	3075646	234	arbuscular
Drypetes_laciniata	3076019	285	arbuscular
Drypetes_parvifolia	3075872	155	arbuscular
Drypetes_nitida	3075750	32	arbuscular
Drypetes_hainanensis	3075844	70	arbuscular
Drypetes_mucronata	3075780	93	arbuscular
Drypetes_ilicifolia	3076031	41	arbuscular
Drypetes_usambarica	3075980	95	arbuscular
