werner_name,first_mismatch,new_state,old_state
Cytisus_scoparius,has_am,1,0
Dalbergia_oliveri,has_am,1,0
Dalbergia_sissoo,has_am,1,0
Dichrostachys_cinerea,has_am,1,0
Dicymbe_altsonii,has_am,1,0
Didelotia_africana,has_am,1,0
Diplotropis_purpurea,has_am,1,0
Dipterocarpus_alatus,has_ecm,0,1
Dyera_costulata,has_nm,1,0
Elaeagnus_angustifolia,has_nm,1,0
Hippophae_rhamnoides,has_nm,1,0
Eleutherococcus_senticosus,has_nm,1,0
Enterolobium_contortisiliquum,has_am,1,0
Enterolobium_cyclocarpum,has_am,1,0
Enterolobium_schomburgkii,has_am,1,0
Erythrophleum_ivorense,has_am,1,0
Eucalyptus_camaldulensis,has_am,1,0
Eucalyptus_cloeziana,has_am,1,0
Eucalyptus_delegatensis_subsp,_delegatensis,has_am,1,0
Eucalyptus_dunnii,has_am,1,0
Eucalyptus_globulus_subsp,_maidenii,has_am,1,0
Eucalyptus_globulus_subsp,_bicostata,has_am,1,0
Eucalyptus_globulus_subsp,_globulus,has_am,1,0
Eucalyptus_grandis,has_am,1,0
Eucalyptus_viminalis_subsp,_cygnetensis,has_am,1,0
Eucalyptus_viminalis_subsp,_viminalis,has_am,1,0
Euonymus_alatus,has_nm,1,0
Euonymus_europaeus,has_nm,1,0
Euonymus_verrucosus,has_nm,1,0
Eysenhardtia_polystachya,has_am,1,0
Faurea_saligna,has_ecm,1,0
Ficus_carica,has_nm,1,0
Ficus_hispida,has_nm,1,0
Frangula_alnus,has_nm,1,0
Fraxinus_americana,has_nm,1,0
Fraxinus_chinensis_subsp,_rhynchophylla,has_nm,1,0
Fraxinus_excelsior,has_ecm,1,0
Fraxinus_mandshurica,has_nm,1,0
Fraxinus_pennsylvanica,has_nm,1,0
Garcinia_cowa,has_nm,1,0
Garcinia_lucida,has_ecm,1,0
Garcinia_xanthochymus,has_nm,1,0
Gilbertiodendron_dewevrei,has_am,1,0
Gironniera_subaequalis,has_nm,1,0
Gleditsia_amorphoides,has_ecm,1,0
Gleditsia_triacanthos,has_nm,1,0
Gliricidia_sepium,has_am,1,0
Gnetum_gnemon,has_am,1,0
Gymnocladus_dioicus,has_am,0,1
Hopea_mengarawan,has_nm,1,0
Hymenaea_courbaril,has_nm,1,0
Hymenolobium_excelsum,has_am,1,0
Ilex_aquifolium,has_ecm,1,0
Inga_alba,has_am,1,0
Inga_cordatoalata,has_am,1,0
Inga_edulis,has_am,1,0
Inga_laurina,has_am,1,0
Inga_leiocalycina,has_am,1,0
Inga_macrophylla,has_am,1,0
Inga_marginata,has_am,1,0
Inga_nobilis,has_am,1,0
Inga_paraensis,has_am,1,0
Inga_pezizifera,has_am,1,0
Inga_thibaudiana,has_am,1,0
Inga_umbratica,has_am,1,0
Inga_vera,has_am,1,0
Jodina_rhombifolia,has_am,1,0
Juglans_mandshurica,has_nm,1,0
Juglans_nigra,has_nm,1,0
Juglans_regia,has_nm,1,0
Juniperus_communis,has_ecm,1,0
Juniperus_osteosperma,has_ecm,1,0
Juniperus_rigida,has_ecm,1,0
Juniperus_sabina,has_ecm,1,0
Juniperus_virginiana,has_ecm,1,0
Kalmia_latifolia,has_nm,1,0
Kalopanax_septemlobus,has_am,0,1
Laburnum_anagyroides_subsp,_anagyroides,has_am,1,0
Lepisanthes_senegalensis,has_nm,1,0
Leptospermum_scoparium,has_am,1,0
Lespedeza_bicolor,has_am,1,0
Leucaena_leucocephala,has_am,1,0
Ligustrum_obtusifolium,has_nm,1,0
Ligustrum_vulgare,has_nm,1,0
Dahlstedtia_muehlbergiana,has_am,1,0
Maackia_amurensis,has_am,1,0
Machaerium_stipitatum,has_am,1,0
Magnolia_ovata,has_nm,1,0
Malus_baccata,has_nm,1,0
Malus_sylvestris,has_nm,1,0
Melaleuca_quinquenervia,has_am,1,0
Melastoma_malabathricum,has_nm,1,0
Melia_azedarach,has_nm,1,0
Minquartia_guianensis,has_nm,0,1
Morella_cerifera,has_nm,0,1
Nerium_oleander,has_nm,1,0
Trisyngyne_balansae,has_am,1,0
Lophozonia_menziesii,has_am,0,1
Olneya_tesota,has_am,1,0
Ongokea_gore,has_nm,0,1
Ormosia_coccinea,has_am,1,0
Pandanus_tectorius,has_am,0,1
Parapiptadenia_rigida,has_am,1,0
Peltophorum_africanum,has_nfix,1,0
Peltophorum_dubium,has_nm,1,0
Pentaclethra_macroloba,has_am,1,0
Pentaclethra_macrophylla,has_am,1,0
Pereskia_aculeata,has_nm,1,0
Phellodendron_amurense,has_nm,1,0
Pinus_muricata,has_am,1,0
Pinus_ponderosa,has_am,1,0
Pinus_sabiniana,has_am,1,0
Pinus_sylvestris,has_nm,1,0
Piptadenia_gonoacantha,has_am,1,0
Piptadeniastrum_africanum,has_am,1,0
Pisonia_umbellifera,has_ecm,0,1
Pithecellobium_dulce,has_am,1,0
