werner_name	family	has_am	has_ecm	has_nm	has_er	has_orm	has_nfix
Abarema_jupunba	Fabaceae	1	0	0	0	0	1
Abies_alba	Pinaceae	0	1	0	0	0	0
Abies_amabilis	Pinaceae	0	1	0	0	0	0
Abies_cephalonica	Pinaceae	0	1	0	0	0	0
Abies_cilicica	Pinaceae	0	1	0	0	0	0
Abies_concolor	Pinaceae	0	1	0	0	0	0
Abies_firma	Pinaceae	0	1	0	0	0	0
Abies_fraseri	Pinaceae	0	1	0	0	0	0
Abies_grandis	Pinaceae	0	1	0	0	0	0
Abies_holophylla	Pinaceae	0	1	0	0	0	0
Abies_homolepis	Pinaceae	0	1	0	0	0	0
Abies_koreana	Pinaceae	0	1	0	0	0	0
Abies_lasiocarpa	Pinaceae	0	1	0	0	0	0
Abies_magnifica	Pinaceae	0	1	0	0	0	0
Abies_nephrolepis	Pinaceae	0	1	0	0	0	0
Abies_nordmanniana	Pinaceae	0	1	0	0	0	0
Abies_numidica	Pinaceae	0	1	0	0	0	0
Abies_pinsapo	Pinaceae	0	1	0	0	0	0
Abies_procera	Pinaceae	0	1	0	0	0	0
Abies_sibirica	Pinaceae	0	1	0	0	0	0
Abies_veitchii	Pinaceae	0	1	0	0	0	0
Abronia_umbellata	Nyctaginaceae	1	0	0	0	0	0
Abuta_grandifolia	Menispermaceae	1	0	0	0	0	0
Abuta_rufescens	Menispermaceae	1	0	0	0	0	0
Abutilon_grandifolium	Malvaceae	1	0	0	0	0	0
Abutilon_indicum	Malvaceae	1	0	0	0	0	0
Abutilon_theophrasti	Malvaceae	1	0	0	0	0	0
Acacia_ampliceps	Fabaceae	1	0	0	0	0	1
Acacia_aneura	Fabaceae	1	0	0	0	0	1
Acacia_arabica	Fabaceae	1	0	0	0	0	1
Acacia_auriculiformis	Fabaceae	1	0	0	0	0	1
Acacia_catechu	Fabaceae	1	0	0	0	0	1
Acacia_caven	Fabaceae	1	0	0	0	0	1
Acacia_dealbata	Fabaceae	1	0	0	0	0	1
Acacia_dimidiata	Fabaceae	1	0	0	0	0	1
Acacia_doratoxylon	Fabaceae	1	0	0	0	0	1
Acacia_floribunda	Fabaceae	1	0	0	0	0	1
Acacia_furcatispina	Fabaceae	1	0	0	0	0	1
Acacia_gerrardii	Fabaceae	1	0	0	0	0	1
Acacia_karroo	Fabaceae	1	0	0	0	0	1
Acacia_koa	Fabaceae	1	0	0	0	0	1
Acacia_nilotica	Fabaceae	1	0	0	0	0	1
Acacia_obtusifolia	Fabaceae	1	1	0	0	0	1
Acacia_oswaldii	Fabaceae	1	0	0	0	0	1
Acacia_suaveolens	Fabaceae	1	1	0	0	0	1
Acacia_tortilis	Fabaceae	1	0	0	0	0	1
