maherali_name,first_mismatch,new_state,old_state
Chamaerops_humilis,has_nm,1,0
Cleistanthus_sumatranus,has_am,0,1
Crataegus_maximowiczii,has_nm,1,0
Crataegus_pinnatifida,has_nm,1,0
Elaeagnus_angustifolia,has_nm,1,0
Eleutherococcus_senticosus,has_am,0,1
Euonymus_alatus,has_nm,1,0
Euonymus_europaeus,has_nm,1,0
Euonymus_verrucosus,has_am,0,1
Ficus_carica,has_am,0,1
Ficus_hispida,has_am,0,1
Fraxinus_chinensis_subsp,_rhynchophylla,has_am,0,1
Fraxinus_excelsior,has_nm,1,0
Fraxinus_pennsylvanica,has_nm,1,0
Gleditsia_triacanthos,has_nm,1,0
Hippophae_rhamnoides,has_nm,1,0
Hymenaea_courbaril,has_nm,1,0
Juglans_mandshurica,has_am,0,1
Juglans_nigra,has_am,0,1
Ligustrum_vulgare,has_am,0,1
Maackia_amurensis,has_nm,1,0
Malus_baccata,has_nm,1,0
Malus_sylvestris,has_nm,1,0
Melastoma_malabathricum,has_am,0,1
Melia_azedarach,has_am,0,1
Nerium_oleander,has_am,0,1
Ormosia_arborea,has_nm,1,0
Peltophorum_dubium,has_nm,1,0
Phellodendron_amurense,has_am,0,1
Pometia_pinnata,has_am,0,1
Prunus_domestica,has_am,0,1
Prunus_spinosa,has_nm,1,0
Pyrus_ussuriensis,has_am,0,1
Rhamnus_cathartica,has_am,0,1
Rhamnus_davurica,has_nm,1,0
Frangula_alnus,has_nm,1,0
Rhus_typhina,has_nm,1,0
Rosa_davurica,has_nm,1,0
Rosa_multiflora,has_am,0,1
Salix_gracilistyla,has_nm,1,0
Sorbaria_sorbifolia,has_am,0,1
Sorbus_alnifolia,has_nm,1,0
Sorbus_aucuparia,has_nm,1,0
Sorbus_pohuashanensis,has_am,0,1
Syringa_wolfii,has_am,0,1
Syzygium_cumini,has_nm,1,0
Magnolia_ovata,has_am,0,1
Ulmus_glabra,has_nm,1,0
Ulmus_pumila,has_nm,1,0
Calliandra_tweedii,has_ecm,1,0
Prunus_avium,has_am,0,1
Prunus_cerasus,has_ecm,1,0
Ceratopetalum_apetalum,has_ecm,1,0
Salix_arbutifolia,has_ecm,1,0
Coccoloba_uvifera,has_nm,0,1
Engelhardia_roxburghiana,has_ecm,1,0
Gleditsia_amorphoides,has_ecm,1,0
Graffenrieda_emarginata,has_am,0,1
Juglans_regia,has_am,0,1
Lonchocarpus_nitidus,has_ecm,1,0
Lophozonia_menziesii,has_ecm,1,0
Prunus_padus,has_ecm,1,0
Robinia_pseudoacacia,has_ecm,1,0
Prunus_mandshurica,has_nm,1,0
Canna_indica,has_nm,1,0
Prunus_maximowiczii,has_am,0,1
Cordyline_australis,has_nm,1,0
Dracaena_fragrans,has_nm,1,0
Dyera_costulata,has_am,0,1
Ficus_cyrtophylla,has_am,0,1
Fraxinus_mandshurica,has_am,0,1
Garcinia_cowa,has_nm,1,0
Gironniera_subaequalis,has_am,0,1
Glochidion_ellipticum,has_am,0,1
Hopea_mengarawan,has_ecm,0,1
Kalmia_latifolia,has_er,0,1
Kalopanax_septemlobus,has_nm,1,0
Ligustrum_obtusifolium,has_am,0,1
Pachystachys_coccinea,has_am,0,1
Pandanus_furcatus,has_am,0,1
Pandanus_tectorius,has_am,0,1
Pereskia_aculeata,has_am,0,1
Pisonia_umbellifera,has_ecm,0,1
Rhamnus_ussuriensis,has_am,0,1
Rhododendron_mucronulatum,has_er,0,1
Rhus_coriaria,has_am,0,1
Solanum_torvum,has_am,0,1
Spiraea_salicifolia,has_nm,1,0
Trevesia_palmata,has_nm,1,0
Ulmus_laevis,has_nm,1,0
