allmb_name	gbif_species_key	num_occurrences	woody_state
Humiria_balsamifera	8196855	3941	ancestral
Pogonophora_schomburgkiana	3917423	1760	ancestral
Clutia_pulchella	7687849	1073	ancestral
Clutia_abyssinica	3917675	1073	ancestral
Clutia_monticola	7276106	342	non-woody
Pera_glabrata	6045891	6003	ancestral
Chaetocarpus_africanus	5615302	762	ancestral
Agrostistachys_borneensis	3063602	306	ancestral
Argomuellera_macrophylla	3074876	691	ancestral
Mallotus_philippensis	5378605	6056	ancestral
Ricinus_communis	5380041	20695	ancestral
Adriana_quadripartita	5380234	1454	ancestral
Leidesia_procumbens	3054697	199	non-woody
Erythrococca_menyharthii	3054631	155	ancestral
Micrococca_capensis	3072566	177	ancestral
Micrococca_mercurialis	3072557	629	non-woody
Claoxylon_australe	3060589	2818	ancestral
Mercurialis_perennis	3063016	152826	non-woody
Lasiococca_comberi	3063526	157	ancestral
Mareya_micrantha	3055859	914	ancestral
Acalypha_phleoides	3056578	1594	non-woody
Acalypha_macrostachya	3056437	5157	ancestral
Acalypha_rhomboidea	3056055	4817	non-woody
Acalypha_hispida	3056375	930	ancestral
Acalypha_wilkesiana	3057221	1530	ancestral
Acalypha_diversifolia	3056298	7053	ancestral
Acalypha_australis	3056835	3364	non-woody
Acalypha_chirindica	3056418	183	ancestral
Acalypha_indica	3056259	1641	non-woody
Acalypha_nemorum	3056594	626	ancestral
Acalypha_virginica	3056055	4817	non-woody
Acalypha_ciliata	3056276	991	non-woody
Acalypha_glabrata_var._pilosa	3056185	586	ancestral
Wetria_insignis	3072155	158	ancestral
Rockinghamia_angustifolia	3063038	349	ancestral
Ptychopyxis_grandis	3062885	32	ancestral
Adelia_triloba	5380432	579	ancestral
Plukenetia_volubilis	3070717	490	non-woody
Dalechampia_scandens	3055569	3302	non-woody
Tragiella_natalensis	3073196	104	non-woody
Tragia_ramosa	3061655	1053	non-woody
Tragia_rupestris	3061692	260	non-woody
Tragia_benthamii	3061791	321	non-woody
Tragia_brevipes	3061805	157	ancestral
Tragia_petiolaris	3061678	10	non-woody
Tragia_tenuifolia	3061840	137	ancestral
Bernardia_mexicana	5378428	443	ancestral
Cephalocroton_mollis	3055905	244	non-woody
Cephalomappa_malloticarpa	3073718	104	ancestral
Caperonia_palustris	3055012	2245	non-woody
Melanolepis_multiglandulosa	5380873	1162	ancestral
Chrozophora_tinctoria	3054465	3516	non-woody
Alchornea_triplinervia	3055511	10450	ancestral
Moultonianthus_leembruggianus	3061396	105	ancestral
Omphalea_diandra	3062246	992	ancestral
Manihot_esculenta	3060998	89997	ancestral
Sagotia_racemosa	5377870	1001	ancestral
Pausandra_trianae	3075100	1033	ancestral
Baliospermum_montanum	3062296	335	non-woody
Codiaeum_variegatum	3071476	2911	ancestral
Ostodes_paniculata	5378866	603	ancestral
Baloghia_inophylla	5378457	2559	ancestral
Beyeria_viscosa	5380369	3908	ancestral
Jatropha_multifida	3072985	769	ancestral
Jatropha_integerrima	3073017	827	ancestral
Jatropha_latifolia	3073053	137	non-woody
Jatropha_curcas	3072953	4212	ancestral
Jatropha_gossypiifolia	3072900	4130	non-woody
Jatropha_zeyheri	3072800	306	non-woody
Jatropha_cinerea	3072848	415	ancestral
Joannesia_princeps	3075087	493	ancestral
Croton_poecilanthus	3060120	138	ancestral
Croton_ovalifolius	3058656	566	ancestral
Croton_monanthogynus	3057700	2525	non-woody
Croton_floribundus	3057803	1811	ancestral
Croton_glandulosus	3058185	5178	non-woody
Croton_argentinus	3060358	221	ancestral
Croton_matourensis	3058007	1283	ancestral
Croton_schiedeanus	3060306	2847	ancestral
Croton_pseudoniveus	3058247	232	ancestral
Croton_reflexifolius	3058909	685	non-woody
Croton_texensis	3058061	2068	non-woody
Croton_cuneatus	3057939	1200	ancestral
Croton_gratissimus	3058727	1886	ancestral
Croton_urucurana	3057491	1843	ancestral
Croton_piptocalyx	3060464	163	ancestral
Croton_glabellus	3058441	1392	ancestral
Croton_nitens	3058147	195	ancestral
Croton_madandensis	3059296	32	ancestral
Croton_steenkampianus	3058591	84	ancestral
Croton_laevigatus	3059370	195	ancestral
Croton_griffithii	3058434	75	ancestral
Croton_cortesianus	3059195	1312	ancestral
Croton_laevifolius			ancestral
Mildbraedia_carpinifolia_var._strigosa	3918792	255	ancestral
Tetrorchidium_rubrivenium	3062925	1089	ancestral
Adenocline_acuta	3073141	323	non-woody
Glycydendron_amazonicum	3061260	464	ancestral
Suregada_glomerulata	3054917	1005	ancestral
Pimelodendron_amboinicum	3054790	1194	ancestral
Dichostemma_glaucescens	3074964	1198	ancestral
Euphorbia_lathyris	3066965	26105	non-woody
Euphorbia_eriophora	3065442	54	ancestral
Euphorbia_helioscopia	3066367	124989	non-woody
Euphorbia_stricta	3070024	15230	non-woody
Euphorbia_spathulata	3066758	2400	non-woody
Euphorbia_dulcis	3069475	36210	non-woody
Euphorbia_stygiana	3069679	1898	derived
Euphorbia_palustris	3064056	11281	non-woody
Euphorbia_corallioides	3068819	78	non-woody
Euphorbia_hyberna	3066567	6076	ancestral
Euphorbia_depauperata	8202144	305	non-woody
Euphorbia_hierosolymitana	3069969	1699	ancestral
Euphorbia_verrucosa	3069053	16052	non-woody
Euphorbia_apios	3069036	262	non-woody
Euphorbia_nicaeensis	3065819	12000	non-woody
Euphorbia_paralias	3069761	17750	non-woody
Euphorbia_segetalis	3066495	15263	non-woody
Euphorbia_portlandica	3065081	2731	ancestral
Euphorbia_taurinensis	3065585	1695	non-woody
Euphorbia_peplus	3066386	102400	non-woody
Euphorbia_variabilis	3070292	165	non-woody
Euphorbia_cyparissias	3070106	165665	non-woody
Euphorbia_salicifolia	3070494	443	ancestral
Euphorbia_lucida	3069370	428	non-woody
Euphorbia_schimperiana	3068450	555	non-woody
Euphorbia_exigua	3069593	47508	non-woody
Euphorbia_terracina	3064472	8528	non-woody
Euphorbia_aphylla	3069165	255	derived
Euphorbia_usambarica	3064520	110	ancestral
Euphorbia_gossypina	3065287	65	ancestral
Euphorbia_mauritanica	7926635	785	non-woody
Euphorbia_aucheri	3064722	59	non-woody
Euphorbia_amygdaloides	3065239	82085	non-woody
Euphorbia_serrata	3070382	17884	non-woody
Euphorbia_villosa	8656882	188	non-woody
Euphorbia_lambii	3919699	77	derived
Euphorbia_macroclada	3067527	285	ancestral
Euphorbia_goetzei	3065714	52	non-woody
Euphorbia_transvaalensis	3068082	165	ancestral
Euphorbia_guerichiana	8330922	191	ancestral
Euphorbia_nutans	3070346	6054	non-woody
Euphorbia_atoto	3065495	985	ancestral
Euphorbia_indica	3063803	573	non-woody
Euphorbia_hirta	3068937	15620	non-woody
Euphorbia_celastroides	3069979	1170	derived
Euphorbia_prostrata	3067891	9672	non-woody
Euphorbia_maculata	3067119	18305	non-woody
Euphorbia_neopolycnemoides	3066704	119	non-woody
Euphorbia_serpens	3064221	5355	non-woody
Euphorbia_multiformis_var._microphylla	3065531	422	derived
Euphorbia_drummondii	3069706	11200	non-woody
Euphorbia_pulcherrima	3066465	1676	ancestral
Euphorbia_heterophylla	3064495	12859	non-woody
Euphorbia_cyathophora	3064495	12859	non-woody
Euphorbia_marginata	3064943	3457	ancestral
Euphorbia_bicolor	3066933	745	non-woody
Euphorbia_corollata	3068091	5098	non-woody
Euphorbia_misera	3066035	598	derived
Euphorbia_schlechtendalii	3068012	1295	ancestral
Euphorbia_cotinifolia	3067261	1379	ancestral
Euphorbia_leucocephala	3066435	486	ancestral
Euphorbia_fulgens	3070277	103	ancestral
Euphorbia_hexagona	3070525	462	non-woody
Euphorbia_peplis	3066482	3981	non-woody
Euphorbia_milii	3067157	998	derived
Euphorbia_neopedunculata	3069634	20	non-woody
Euphorbia_torrei	3068256	17	ancestral
Euphorbia_lugardae	3070462	9	non-woody
Euphorbia_cupularis	3064463	106	ancestral
Euphorbia_antiquorum	3069535	188	ancestral
Euphorbia_ingens	3070041	207	ancestral
Euphorbia_mlanjeana	3065494	27	ancestral
Euphorbia_griseola	3069513	114	ancestral
Euphorbia_knuthii_subsp._knuthii	3064075	72	non-woody
Euphorbia_fanshawei	3068294	20	non-woody
Euphorbia_malevola	3065994	75	ancestral
Euphorbia_handiensis	3067114	66	derived
Euphorbia_graniticola	3070248	24	ancestral
Euphorbia_lividiflora	3064040	34	ancestral
Euphorbia_cooperi	3069097	226	ancestral
Euphorbia_tortirama	3068525	38	non-woody
Euphorbia_triangularis	3067747	148	ancestral
Euphorbia_grandidens	3070395	184	ancestral
Euphorbia_canariensis	3066139	641	derived
Euphorbia_persistentifolia	3065118	18	ancestral
Euphorbia_tirucalli	3069353	2838	ancestral
Euphorbia_portulacoides	3064873	490	non-woody
Euphorbia_tithymaloides	3069168	1535	ancestral
Euphorbia_boophthona	3064920	371	non-woody
Euphorbia_monteiroi	3064750	193	non-woody
Euphorbia_grantii	3070227	74	ancestral
Euphorbia_platycephala	3068315	17	non-woody
Euphorbia_crotonoides	3065947	103	non-woody
Euphorbia_cuneata	3065338	276	ancestral
Euphorbia_balsamifera	3069871	1383	derived
Euphorbia_herbstii	3065516	50	derived
Euphorbia_deppeana	3066293	21	derived
Euphorbia_halemanui	3067517	77	derived
Euphorbia_atrococca	3065280	112	derived
Euphorbia_arnottiana	3067138	57	derived
Euphorbia_eleanoriae	3067702	17	derived
Euphorbia_nummularia	3070466	31	derived
Euphorbia_amplexicaulis	3065385	56	derived
Euphorbia_skottsbergii	3067987	145	derived
Euphorbia_viminea	3067445	77	derived
Euphorbia_sparsiflora	3066922	58	derived
Euphorbia_cornigera	3068190	147	non-woody
Euphorbia_humistrata	3066747	233	non-woody
Euphorbia_bindloensis	7475498	1	derived
Euphorbia_margalidiana	3065201	38	ancestral
Euphorbia_serrulata			non-woody
Euphorbia_rowlandii	3065813	25	ancestral
Euphorbia_kirkii	3069733	14	ancestral
Neoguillauminia_cleopatra	3063565	135	ancestral
Hura_crepitans	5380015	2528	ancestral
Stillingia_paucidentata	3055215	52	non-woody
Sapium_glandulosum	5379918	5193	ancestral
Sebastiania_brasiliensis	5380609	3880	ancestral
Triadica_sebifera	3054399	4738	ancestral
Rhodothyrsus_macrophyllus	3055303	422	ancestral
Ixonanthes_reticulata	4259197	438	ancestral
Hebepetalum_humiriifolium	8030570	702	ancestral
Linum_catharticum	2873865	154449	non-woody
Roucheria_calophylla	4048538	259	ancestral
Quiina_florida	3986487	799	ancestral
Cespedesia_spathulata	3695801	1148	ancestral
Sauvagesia_erecta	5421109	6978	non-woody
Ochna_serrulata	3189680	3226	ancestral
Testulea_gabonensis	3694579	105	ancestral
Poecilandra_retusa	3696252	248	ancestral
Schuurmansia_henningsii	3695063	455	ancestral
Wallacea_insignis	5552887	274	ancestral
Caryocar_glabrum	3826026	1376	ancestral
Drypetes_deplanchei	3076038	4122	ancestral
Hirtella_racemosa	2985122	5842	ancestral
Irvingia_gabonensis	5380976	1286	ancestral
Rhizophora_mangle	3086528	10115	ancestral
Astrocasia_tremula	3076386	514	ancestral
Margaritaria_nobilis	5383279	4846	ancestral
Flueggea_virosa	5382823	8231	ancestral
Phyllanthus_obscurus	5383222	562	ancestral
Phyllanthus_juglandifolius	5382401	536	ancestral
Phyllanthus_niruri	5381945	4559	non-woody
Phyllanthus_amarus	5382589	5073	non-woody
Phyllanthus_kaessneri	5382253	63	ancestral
Phyllanthus_tenellus	5381097	2593	non-woody
Phyllanthus_reticulatus	5382478	2916	ancestral
Phyllanthus_maderaspatensis	5381104	2861	non-woody
Phyllanthus_welwitschianus	5381590	333	ancestral
Phyllanthus_pinnatus	5381372	73	ancestral
Phyllanthus_emblica	5381660	1177	ancestral
Phyllanthus_urinaria	5382780	4925	non-woody
Phyllanthus_fraternus	5381498	341	non-woody
Phyllanthus_salviifolius	5381107	611	ancestral
Phyllanthus_gunnii	5381121	2667	ancestral
Phyllanthus_gossweileri	5381847	6	non-woody
Phyllanthus_engleri	5381589	49	ancestral
Phyllanthus_ovalifolius	5381893	352	ancestral
Phyllanthus_inflatus	5381231	25	ancestral
Phyllanthus_lutescens	5383206	472	ancestral
Phyllanthus_glomerulatus	5383140	153	ancestral
Breynia_oblongifolia	5383043	13446	ancestral
Sauropus_androgynus	9197670	735	ancestral
Sauropus_brunonis	5383557	161	non-woody
Sauropus_paucifolius	5383610	196	ancestral
Sauropus_ditassoides	5383614	190	non-woody
Synostemon_glaucus	3081975	130	non-woody
Glochidion_zeylanicum	3080562	3172	ancestral
Poranthera_microphylla	5383319	23981	non-woody
Poranthera_corymbosa	5383329	1395	ancestral
Andrachne_telephioides	3079631	2073	ancestral
Bridelia_ferruginea	3076157	4304	ancestral
Hieronyma_oblonga	3079119	8395	ancestral
Petalostigma_pubescens	3075165	5073	ancestral
Bhesa_paniculata	3793960	625	ancestral
Byrsonima_crassifolia	3191361	8734	ancestral
Bunchosia_lindeniana	7285177	1790	ancestral
Malpighia_glabra	5421429	4123	ancestral
Sphedamnocarpus_angolensis	7285369	745	non-woody
Sphedamnocarpus_transvaalicus	3984419	408	ancestral
Banisteriopsis_muricata	3985018	3357	ancestral
Cordobia_argentea	3983189	111	non-woody
Janusia_guaranitica	7285123	1291	ancestral
Stigmaphyllon_ellipticum	7285222	1731	ancestral
Stigmaphyllon_hypargyreum	3983566	60	non-woody
Hiraea_fagifolia	7285448	1385	ancestral
Tricomaria_usillo	3983898	129	ancestral
Niedenzuella_stannea	3986077	573	ancestral
Tetrapterys_discolor	7285556	836	ancestral
Heteropterys_macrostachya	7285080	651	non-woody
Heteropterys_laurifolia	3191295	1715	ancestral
Heteropterys_panamensis	3982625	153	ancestral
Acridocarpus_smeathmannii	7888256	527	ancestral
Bergia_decumbens	5646092	219	ancestral
Bergia_ammannioides	8339627	649	non-woody
Elatine_hexandra	5646074	9060	non-woody
Tristicha_trifaria	7296095	1649	non-woody
Cratoxylum_formosum	7330024	953	ancestral
Harungana_madagascariensis	3711847	3367	ancestral
Hypericum_canadense	3189526	2070	non-woody
Hypericum_gramineum	3189498	24406	non-woody
Hypericum_gentianoides	3189514	2561	non-woody
Hypericum_laricifolium	7329877	2622	ancestral
Hypericum_denticulatum_subsp._acutifolium	3189541	320	non-woody
Hypericum_prolificum	3189471	1975	ancestral
Hypericum_cistifolium	3189466	1298	non-woody
Hypericum_crux-andreae	3189534	1213	ancestral
Hypericum_ellipticum	3189485	1691	non-woody
Hypericum_androsaemum	3189525	22109	ancestral
Hypericum_hircinum	6436603	1929	non-woody
Hypericum_calycinum	3189497	2490	ancestral
Hypericum_ascyron	3189479	3168	non-woody
Hypericum_revolutum	7330049	1454	ancestral
Hypericum_perfoliatum	7678225	2501	non-woody
Hypericum_reflexum	7475619	366	ancestral
Hypericum_triquetrifolium	3715163	1963	ancestral
Hypericum_maculatum	6437017	121505	non-woody
Hypericum_tetrapterum	6436469	78311	non-woody
Hypericum_hirsutum	7921919	49034	non-woody
Hypericum_humifusum	3189543	47323	non-woody
Hypericum_perforatum	3189486	362057	non-woody
Hypericum_thymifolium	7349260	313	ancestral
Hypericum_empetrifolium	8411092	648	ancestral
Hypericum_pulchrum	3712747	71034	non-woody
Hypericum_elodes	3713039	22618	non-woody
Hypericum_hypericoides	3189520	4960	ancestral
Hypericum_aethiopicum_subsp._sonderi	3711260	814	non-woody
Hypericum_densiflorum	3189457	962	ancestral
Hypericum_gymnanthum	3189475	443	non-woody
Hypericum_anagalloides	3189470	1312	non-woody
Hypericum_elegans	8212814	535	non-woody
Symphonia_globulifera	8185162	5896	ancestral
Clusia_criuva	7329873	2115	ancestral
Clusia_clusioides	5421057	203	ancestral
Clusia_fluminensis	5556496	341	ancestral
Clusia_odorata	5421056	1313	ancestral
Clusia_multiflora	7330264	2346	ancestral
Clusia_stenophylla	5555940	493	non-woody
Clusia_lundellii	5556308	253	ancestral
Chrysochlamys_membranacea	5555729	618	ancestral
Calophyllum_brasiliense	5421069	3909	ancestral
Lindackeria_paludosa	3879608	1967	ancestral
Goupia_glabra	3760960	1930	ancestral
Rinoreocarpus_ulei	4076764	910	ancestral
Viola_betonicifolia	7296623	12796	non-woody
Viola_arvensis	5331235	147838	non-woody
Viola_palustris	5331355	177456	non-woody
Viola_chamissoniana_subsp._tracheliifolia	5331174	395	derived
Viola_sagittata	5331364	4102	non-woody
Viola_pedata	5331278	4328	non-woody
Viola_abyssinica	5664502	722	non-woody
Viola_hederacea	7296375	35751	non-woody
Viola_pumila	7499288	2318	non-woody
Viola_lactea	7946708	2329	non-woody
Viola_canina	5331258	108504	non-woody
Viola_nuttallii	5331211	1081	non-woody
